order_id,order_date,warehouse_id,product_id,quantity,sales_amount
O000121,2023-01-01,W005,P006,5,619.75
O000122,2023-01-01,W005,P035,6,1299.18
O000123,2023-01-01,W005,P034,2,618.32
O000124,2023-01-01,W004,P033,2,966.9
O000125,2023-01-01,W001,P043,10,4819.1
O000126,2023-01-01,W001,P018,5,8150.1
O000127,2023-01-01,W002,P046,19,5060.65
O000128,2023-01-01,W001,P035,15,3247.95
O000129,2023-01-01,W004,P038,2,2362.8
O000130,2023-01-01,W004,P002,15,17433.15
O000131,2023-01-01,W004,P012,8,3720.4
O000132,2023-01-01,W001,P034,3,927.48
O000133,2023-01-01,W004,P017,7,1384.67
O000134,2023-01-01,W001,P007,2,2232.22
O000135,2023-01-01,W003,P010,10,6328.6
O000136,2023-01-01,W003,P050,7,656.46
O000137,2023-01-01,W002,P020,18,18448.02
O000138,2023-01-01,W002,P004,15,2713.2
O000139,2023-01-01,W002,P002,6,6973.26
O000140,2023-01-01,W003,P025,1,746.39
O000141,2023-01-01,W003,P010,18,11391.48
O000142,2023-01-01,W003,P017,17,3362.77
O000143,2023-01-01,W001,P004,11,1989.68
O000144,2023-01-01,W002,P049,5,3980.7
O000145,2023-01-01,W004,P033,10,4834.5
O000146,2023-01-01,W004,P008,13,3793.27
O000147,2023-01-01,W001,P021,4,993.72
O000148,2023-01-01,W005,P027,7,11459.42
O000149,2023-01-01,W004,P002,18,20919.78
O000150,2023-01-01,W002,P002,13,15108.73
O000151,2023-01-01,W005,P038,3,3544.2
O000152,2023-01-01,W002,P049,10,7961.4
O000153,2023-01-01,W002,P020,18,18448.02
O000154,2023-01-01,W004,P006,10,1239.5
O000155,2023-01-01,W002,P010,16,10125.76
O000156,2023-01-01,W005,P011,12,9724.2
O000157,2023-01-01,W005,P028,19,20585.17
O000158,2023-01-01,W001,P001,9,6466.14
O000159,2023-01-01,W005,P019,2,854.28
O000160,2023-01-01,W001,P004,20,3617.6
O000161,2023-01-01,W003,P039,3,2922.09
O000162,2023-01-01,W004,P023,11,5198.71
O000163,2023-01-01,W005,P033,6,2900.7
O000164,2023-01-01,W001,P011,7,5672.45
O000165,2023-01-01,W003,P006,8,991.6
O000166,2023-01-01,W001,P009,10,5135.8
O000167,2023-01-01,W003,P028,11,11917.73
O000168,2023-01-01,W005,P033,7,3384.15
O000169,2023-01-01,W003,P041,6,8215.68
O000170,2023-01-01,W004,P018,5,8150.1
O000171,2023-01-01,W003,P022,5,721.55
O000172,2023-01-01,W004,P039,3,2922.09
O000173,2023-01-01,W001,P045,9,11919.51
O000174,2023-01-01,W001,P039,4,3896.12
O000175,2023-01-01,W001,P001,4,2873.84
O000176,2023-01-01,W004,P036,9,9304.11
O000177,2023-01-01,W004,P035,7,1515.71
O000178,2023-01-01,W001,P035,5,1082.65
O000179,2023-01-01,W004,P044,8,9408.24
O000180,2023-01-01,W003,P025,3,2239.17
O000181,2023-01-01,W004,P012,2,930.1
O000182,2023-01-01,W001,P030,7,907.97
O000183,2023-01-01,W002,P029,1,176.65
O000184,2023-01-01,W002,P048,5,5853.6
O000185,2023-01-01,W003,P044,16,18816.48
O000186,2023-01-01,W002,P006,6,743.7
O000187,2023-01-01,W002,P015,9,6771.87
O000188,2023-01-01,W003,P003,13,3333.46
O000189,2023-01-01,W004,P046,11,2929.85
O000190,2023-01-01,W001,P013,17,13729.2
O000191,2023-01-01,W001,P018,10,16300.2
O000192,2023-01-01,W004,P011,11,8913.85
O000193,2023-01-01,W005,P044,10,11760.3
O000194,2023-01-01,W001,P038,4,4725.6
O000195,2023-01-01,W001,P009,6,3081.48
O000196,2023-01-01,W005,P015,10,7524.3
O000197,2023-01-01,W003,P013,5,4038.0
O000198,2023-01-01,W005,P040,6,2974.8
O000199,2023-01-01,W005,P030,2,259.42
O000200,2023-01-01,W004,P042,6,2706.66
O000201,2023-01-01,W003,P028,18,19501.74
O000202,2023-01-01,W003,P008,19,5544.01
O000203,2023-01-01,W004,P024,6,3140.16
O000204,2023-01-01,W002,P004,13,2351.44
O000205,2023-01-01,W004,P035,19,4114.07
O000206,2023-01-01,W003,P001,8,5747.68
O000207,2023-01-01,W002,P022,3,432.93
O000208,2023-01-01,W005,P002,12,13946.52
O000209,2023-01-01,W004,P005,5,5045.65
O000210,2023-01-01,W002,P011,15,12155.25
O000211,2023-01-01,W003,P005,3,3027.39
O000212,2023-01-01,W001,P031,4,2285.36
O000213,2023-01-01,W001,P038,7,8269.8
O000214,2023-01-01,W003,P016,3,2450.31
O000215,2023-01-01,W004,P016,7,5717.39
O000216,2023-01-01,W001,P022,10,1443.1
O000217,2023-01-01,W002,P005,9,9082.17
O000218,2023-01-01,W001,P041,9,12323.52
O000219,2023-01-01,W005,P008,7,2042.53
O000220,2023-01-01,W001,P003,17,4359.14
O000221,2023-01-01,W003,P045,7,9270.73
O000222,2023-01-01,W002,P004,19,3436.72
O000223,2023-01-01,W001,P020,18,18448.02
O000224,2023-01-01,W001,P007,1,1116.11
O000225,2023-01-01,W005,P004,14,2532.32
O000226,2023-01-01,W004,P026,8,12935.84
O000227,2023-01-01,W005,P049,8,6369.12
O000228,2023-01-01,W002,P039,1,974.03
O000229,2023-01-01,W004,P025,4,2985.56
O000230,2023-01-01,W004,P040,3,1487.4
O000231,2023-01-01,W003,P042,5,2255.55
O000232,2023-01-01,W004,P034,3,927.48
O000233,2023-01-01,W005,P013,8,6460.8
O000234,2023-01-01,W001,P001,3,2155.38
O000235,2023-01-01,W005,P013,9,7268.4
O000236,2023-01-01,W005,P017,16,3164.96
O000237,2023-01-01,W004,P031,4,2285.36
O000238,2023-01-01,W002,P016,4,3267.08
O000239,2023-01-01,W001,P004,9,1627.92
O000240,2023-01-01,W003,P038,8,9451.2
O000241,2023-01-01,W005,P042,16,7217.76
O000242,2023-01-01,W003,P038,10,11814.0
O000243,2023-01-01,W002,P010,20,12657.2
O000244,2023-01-01,W003,P039,3,2922.09
O000245,2023-01-01,W003,P024,5,2616.8
O000246,2023-01-01,W005,P038,4,4725.6
O000247,2023-01-01,W001,P016,10,8167.7
O000248,2023-01-01,W005,P004,18,3255.84
O000249,2023-01-01,W003,P013,11,8883.6
O000250,2023-01-01,W002,P005,7,7063.91
O000251,2023-01-01,W002,P043,20,9638.2
O000252,2023-01-01,W004,P039,3,2922.09
O000253,2023-01-01,W005,P037,3,279.99
O000254,2023-01-01,W005,P020,18,18448.02
O000255,2023-01-01,W003,P011,8,6482.8
O000256,2023-01-01,W004,P003,20,5128.4
O000257,2023-01-01,W002,P001,5,3592.3
O000258,2023-01-01,W002,P030,5,648.55
O000259,2023-01-01,W002,P031,3,1714.02
O000260,2023-01-01,W004,P014,17,6146.86
O000261,2023-01-01,W002,P001,7,5029.22
O000262,2023-01-01,W001,P005,7,7063.91
O000263,2023-01-01,W001,P036,3,3101.37
O000264,2023-01-01,W002,P019,4,1708.56
O000265,2023-01-01,W002,P041,7,9584.96
O000266,2023-01-01,W001,P002,11,12784.31
O000267,2023-01-01,W002,P019,2,854.28
O000268,2023-01-01,W002,P017,10,1978.1
O000269,2023-01-01,W003,P036,5,5168.95
O000270,2023-01-01,W002,P013,5,4038.0
O000271,2023-01-01,W002,P017,8,1582.48
O000272,2023-01-01,W001,P044,9,10584.27
O000273,2023-01-01,W004,P042,8,3608.88
O000274,2023-01-01,W003,P014,14,5062.12
O000275,2023-01-01,W004,P016,7,5717.39
O000276,2023-01-01,W003,P043,10,4819.1
O000277,2023-01-01,W005,P040,8,3966.4
O000278,2023-01-01,W001,P008,9,2626.11
O000279,2023-01-01,W002,P013,11,8883.6
O000280,2023-01-01,W005,P025,3,2239.17
O000281,2023-01-01,W003,P039,4,3896.12
O000282,2023-01-01,W002,P003,11,2820.62
O000283,2023-01-01,W005,P019,2,854.28
O000284,2023-01-01,W003,P016,2,1633.54
O000285,2023-01-01,W003,P009,10,5135.8
O000286,2023-01-01,W005,P032,5,5919.95
O000287,2023-01-01,W001,P031,1,571.34
O000288,2023-01-01,W002,P033,8,3867.6
O000289,2023-01-01,W005,P024,20,10467.2
O000290,2023-01-01,W005,P030,4,518.84
O000291,2023-01-01,W003,P046,16,4261.6
O000292,2023-01-01,W005,P045,20,26487.8
O000293,2023-01-01,W004,P031,3,1714.02
O000294,2023-01-01,W005,P026,6,9701.88
O000295,2023-01-01,W002,P015,5,3762.15
O000296,2023-01-01,W004,P016,8,6534.16
O000297,2023-01-01,W002,P020,18,18448.02
O000298,2023-01-01,W004,P037,2,186.66
O000299,2023-01-01,W003,P017,7,1384.67
O000300,2023-01-01,W002,P049,3,2388.42
O000301,2023-01-01,W003,P029,3,529.95
O000302,2023-01-01,W002,P038,2,2362.8
O000303,2023-01-01,W004,P033,7,3384.15
O000304,2023-01-01,W004,P029,4,706.6
O000305,2023-01-01,W004,P027,16,26192.96
O000306,2023-01-01,W004,P021,3,745.29
O000307,2023-01-01,W004,P002,10,11622.1
O000308,2023-01-01,W004,P015,6,4514.58
O000309,2023-01-01,W001,P023,7,3308.27
O000310,2023-01-01,W003,P033,10,4834.5
O000311,2023-01-01,W005,P042,7,3157.77
O000312,2023-01-01,W003,P015,3,2257.29
O000313,2023-01-01,W001,P005,7,7063.91
O000314,2023-01-01,W001,P035,11,2381.83
O000315,2023-01-01,W003,P013,15,12114.0
O000316,2023-01-01,W003,P020,13,13323.57
O000317,2023-01-01,W002,P046,9,2397.15
O000318,2023-01-01,W005,P017,5,989.05
O000319,2023-01-01,W003,P019,3,1281.42
O000320,2023-01-01,W004,P026,5,8084.9
O000321,2023-01-01,W004,P042,9,4059.99
O000322,2023-01-01,W004,P015,5,3762.15
O000323,2023-01-01,W002,P031,2,1142.68
O000324,2023-01-01,W005,P038,10,11814.0
O000325,2023-01-01,W004,P047,19,22563.26
O000326,2023-01-01,W003,P006,7,867.65
O000327,2023-01-01,W002,P028,18,19501.74
O000328,2023-01-01,W002,P029,4,706.6
O000329,2023-01-01,W005,P002,16,18595.36
O000330,2023-01-01,W002,P037,2,186.66
O000331,2023-01-01,W003,P048,5,5853.6
O000332,2023-01-01,W004,P043,16,7710.56
O000333,2023-01-01,W003,P015,8,6019.44
O000334,2023-01-01,W004,P044,17,19992.51
O000335,2023-01-01,W005,P020,15,15373.35
O000336,2023-01-01,W005,P002,6,6973.26
O000337,2023-01-01,W002,P010,15,9492.9
O000338,2023-01-01,W005,P041,8,10954.24
O000339,2023-01-01,W004,P014,17,6146.86
O000340,2023-01-01,W001,P035,17,3681.01
O000341,2023-01-01,W002,P031,1,571.34
O000342,2023-01-01,W003,P037,4,373.32
O000343,2023-01-01,W003,P006,4,495.8
O000344,2023-01-01,W001,P044,10,11760.3
O000345,2023-01-01,W001,P045,20,26487.8
O000346,2023-01-01,W001,P012,5,2325.25
O000347,2023-01-01,W001,P025,3,2239.17
O000348,2023-01-01,W002,P015,6,4514.58
O000349,2023-01-01,W005,P005,9,9082.17
O000350,2023-01-01,W001,P024,5,2616.8
O000351,2023-01-01,W002,P021,4,993.72
O000352,2023-01-01,W004,P011,8,6482.8
O000353,2023-01-01,W002,P035,18,3897.54
O000354,2023-01-01,W004,P048,7,8195.04
O000355,2023-01-01,W004,P014,9,3254.22
O000356,2023-01-01,W002,P020,18,18448.02
O000357,2023-01-01,W004,P011,14,11344.9
O000358,2023-01-01,W005,P013,19,15344.4
O000359,2023-01-01,W003,P013,5,4038.0
O000360,2023-01-01,W002,P029,1,176.65
O000361,2023-01-01,W004,P039,2,1948.06
O000362,2023-01-01,W005,P022,9,1298.79
O000363,2023-01-01,W004,P030,2,259.42
O000364,2023-01-01,W001,P019,4,1708.56
O000365,2023-01-01,W003,P045,14,18541.46
O000366,2023-01-01,W004,P040,4,1983.2
O000367,2023-01-01,W004,P016,4,3267.08
O000368,2023-01-01,W005,P047,18,21375.72
O000369,2023-01-01,W004,P025,2,1492.78
O000370,2023-01-01,W005,P007,4,4464.44
O000371,2023-01-01,W001,P016,4,3267.08
O000372,2023-01-01,W003,P041,10,13692.8
O000373,2023-01-01,W003,P043,7,3373.37
O000374,2023-01-01,W002,P032,8,9471.92
O000375,2023-01-01,W005,P008,16,4668.64
O000376,2023-01-01,W001,P049,3,2388.42
O000377,2023-01-01,W005,P050,15,1406.7
O000378,2023-01-01,W004,P029,2,353.3
O000379,2023-01-01,W003,P014,6,2169.48
O000380,2023-01-01,W004,P002,7,8135.47
O000381,2023-01-01,W004,P025,3,2239.17
O000382,2023-01-01,W004,P013,17,13729.2
O000383,2023-01-01,W001,P001,6,4310.76
O000384,2023-01-01,W001,P046,9,2397.15
O000385,2023-01-01,W003,P043,19,9156.29
O000386,2023-01-01,W004,P030,3,389.13
O000387,2023-01-01,W001,P036,5,5168.95
O000388,2023-01-01,W004,P009,9,4622.22
O000389,2023-01-01,W003,P011,10,8103.5
O000390,2023-01-01,W001,P039,1,974.03
O000391,2023-01-01,W002,P019,1,427.14
O000392,2023-01-01,W005,P048,17,19902.24
O000393,2023-01-01,W002,P005,2,2018.26
O000394,2023-01-01,W003,P010,19,12024.34
O000395,2023-01-01,W003,P012,5,2325.25
O000396,2023-01-01,W001,P044,11,12936.33
O000397,2023-01-01,W004,P045,6,7946.34
O000398,2023-01-01,W005,P042,8,3608.88
O000399,2023-01-01,W004,P045,14,18541.46
O000400,2023-01-01,W004,P004,5,904.4
O000401,2023-01-01,W001,P050,17,1594.26
O000402,2023-01-01,W002,P016,7,5717.39
O000403,2023-01-01,W002,P013,7,5653.2
O000404,2023-01-01,W001,P027,5,8185.3
O000405,2023-01-01,W001,P022,5,721.55
O000406,2023-01-01,W001,P015,3,2257.29
O000407,2023-01-01,W002,P047,10,11875.4
O000408,2023-01-01,W001,P027,8,13096.48
O000409,2023-01-01,W003,P021,2,496.86
O000410,2023-01-01,W005,P014,17,6146.86
O000411,2023-01-01,W004,P008,12,3501.48
O000412,2023-01-01,W002,P007,3,3348.33
O000413,2023-01-01,W003,P012,2,930.1
O000414,2023-01-01,W004,P042,15,6766.65
O000415,2023-01-01,W001,P025,2,1492.78
O000416,2023-01-01,W004,P015,3,2257.29
O000417,2023-01-01,W003,P042,16,7217.76
O000418,2023-01-01,W001,P005,5,5045.65
O000419,2023-01-01,W004,P020,20,20497.8
O000420,2023-01-01,W001,P046,10,2663.5
O000421,2023-01-01,W003,P007,3,3348.33
O000422,2023-01-01,W004,P044,9,10584.27
O000423,2023-01-01,W003,P012,7,3255.35
O000424,2023-01-01,W004,P005,7,7063.91
O000425,2023-01-01,W001,P039,4,3896.12
O000426,2023-01-01,W004,P033,5,2417.25
O000427,2023-01-01,W005,P038,2,2362.8
O000428,2023-01-01,W002,P002,8,9297.68
O000429,2023-01-01,W003,P016,8,6534.16
O000430,2023-01-01,W002,P040,3,1487.4
O000431,2023-01-01,W001,P009,7,3595.06
O000432,2023-01-01,W004,P019,2,854.28
O000433,2023-01-01,W002,P025,2,1492.78
O000434,2023-01-01,W001,P016,9,7350.93
O000435,2023-01-01,W003,P009,6,3081.48
O000436,2023-01-01,W003,P042,6,2706.66
O000437,2023-01-01,W005,P027,14,22918.84
O000438,2023-01-01,W001,P015,7,5267.01
O000439,2023-01-01,W003,P016,5,4083.85
O000440,2023-01-01,W005,P004,12,2170.56
O000441,2023-01-01,W002,P039,4,3896.12
O000442,2023-01-01,W005,P021,2,496.86
O000443,2023-01-01,W004,P041,2,2738.56
O000444,2023-01-01,W001,P032,3,3551.97
O000445,2023-01-01,W002,P004,9,1627.92
O000446,2023-01-01,W002,P009,3,1540.74
O000447,2023-01-01,W002,P038,10,11814.0
O000448,2023-01-01,W002,P016,10,8167.7
O000449,2023-01-01,W001,P028,19,20585.17
O000450,2023-01-01,W003,P011,11,8913.85
O000451,2023-01-01,W002,P028,10,10834.3
O000452,2023-01-01,W005,P016,6,4900.62
O000453,2023-01-01,W003,P037,4,373.32
O000454,2023-01-01,W002,P018,9,14670.18
O000455,2023-01-01,W001,P024,17,8897.12
O000456,2023-01-01,W004,P011,20,16207.0
O000457,2023-01-01,W004,P028,18,19501.74
O000458,2023-01-01,W002,P031,1,571.34
O000459,2023-01-01,W004,P028,7,7584.01
O000460,2023-01-01,W003,P039,2,1948.06
O000461,2023-01-01,W005,P047,10,11875.4
O000462,2023-01-01,W003,P025,4,2985.56
O000463,2023-01-01,W003,P030,6,778.26
O000464,2023-01-01,W004,P036,9,9304.11
O000465,2023-01-01,W001,P022,4,577.24
O000466,2023-01-01,W004,P013,9,7268.4
O000467,2023-01-01,W002,P001,2,1436.92
O000468,2023-01-01,W005,P047,16,19000.64
O000469,2023-01-01,W004,P026,18,29105.64
O000470,2023-01-01,W004,P048,16,18731.52
O000471,2023-01-01,W004,P032,6,7103.94
O000472,2023-01-01,W005,P005,8,8073.04
O000473,2023-01-01,W001,P008,17,4960.43
O000474,2023-01-01,W005,P011,11,8913.85
O000475,2023-01-01,W004,P017,16,3164.96
O000476,2023-01-01,W005,P046,20,5327.0
O000477,2023-01-01,W003,P045,6,7946.34
O000478,2023-01-01,W004,P028,12,13001.16
O000479,2023-01-01,W002,P031,1,571.34
O000480,2023-01-01,W003,P041,2,2738.56
O000481,2023-01-01,W002,P017,19,3758.39
O000482,2023-01-01,W002,P017,12,2373.72
O000483,2023-01-01,W005,P038,4,4725.6
O000484,2023-01-01,W001,P008,7,2042.53
O000485,2023-01-01,W004,P026,7,11318.86
O000486,2023-01-01,W005,P013,18,14536.8
O000487,2023-01-01,W002,P028,13,14084.59
O000488,2023-01-01,W003,P033,10,4834.5
O000489,2023-01-01,W004,P038,6,7088.4
O000490,2023-01-01,W004,P049,3,2388.42
O000491,2023-01-01,W001,P041,7,9584.96
O000492,2023-01-01,W002,P018,5,8150.1
O000493,2023-01-01,W004,P045,14,18541.46
O000494,2023-01-01,W001,P011,20,16207.0
O000495,2023-01-01,W001,P007,1,1116.11
O000496,2023-01-01,W004,P034,4,1236.64
O000497,2023-01-01,W003,P047,18,21375.72
O000498,2023-01-01,W002,P012,7,3255.35
O000499,2023-01-01,W002,P046,9,2397.15
O000500,2023-01-01,W002,P032,4,4735.96
O000501,2023-01-01,W005,P008,19,5544.01
O000502,2023-01-01,W005,P014,10,3615.8
O000503,2023-01-01,W002,P004,10,1808.8
O000504,2023-01-01,W002,P017,18,3560.58
O000505,2023-01-01,W004,P041,3,4107.84
O000506,2023-01-01,W002,P006,6,743.7
O000507,2023-01-01,W001,P025,1,746.39
O000508,2023-01-01,W003,P005,7,7063.91
O000509,2023-01-01,W001,P038,5,5907.0
O000510,2023-01-01,W004,P032,3,3551.97
O000511,2023-01-01,W001,P004,13,2351.44
O000512,2023-01-01,W001,P043,6,2891.46
O000513,2023-01-01,W001,P014,5,1807.9
O000514,2023-01-01,W004,P039,3,2922.09
O000515,2023-01-01,W004,P031,3,1714.02
O000516,2023-01-01,W005,P028,15,16251.45
O000517,2023-01-01,W003,P044,15,17640.45
O000518,2023-01-01,W003,P016,7,5717.39
O000519,2023-01-01,W004,P025,1,746.39
O000520,2023-01-01,W003,P022,3,432.93
O000521,2023-01-01,W001,P030,8,1037.68
O000522,2023-01-01,W002,P002,8,9297.68
O000523,2023-01-01,W005,P018,5,8150.1
O000524,2023-01-01,W003,P029,4,706.6
O000525,2023-01-01,W005,P027,11,18007.66
O000526,2023-01-01,W001,P041,7,9584.96
O000527,2023-01-01,W001,P041,7,9584.96
O000528,2023-01-01,W001,P048,15,17560.8
O000529,2023-01-01,W004,P015,9,6771.87
O000530,2023-01-01,W004,P048,7,8195.04
O000531,2023-01-01,W003,P028,20,21668.6
O000532,2023-01-01,W001,P047,17,20188.18
O000533,2023-01-01,W003,P039,2,1948.06
O000534,2023-01-01,W002,P034,1,309.16
O000535,2023-01-01,W002,P032,3,3551.97
O000536,2023-01-01,W003,P044,19,22344.57
O000537,2023-01-01,W002,P029,1,176.65
O000538,2023-01-01,W004,P043,12,5782.92
O000539,2023-01-01,W002,P014,10,3615.8
O000540,2023-01-01,W001,P007,4,4464.44
O000541,2023-01-01,W001,P011,15,12155.25
O000542,2023-01-01,W004,P050,13,1219.14
O000543,2023-01-01,W002,P047,13,15438.02
O000544,2023-01-01,W004,P043,8,3855.28
O000545,2023-01-01,W002,P035,20,4330.6
O000546,2023-01-01,W001,P045,15,19865.85
O000547,2023-01-01,W002,P037,1,93.33
O000548,2023-01-01,W003,P025,4,2985.56
O000549,2023-01-01,W005,P028,12,13001.16
O000550,2023-01-01,W002,P017,8,1582.48
O000551,2023-01-01,W003,P006,3,371.85
O000552,2023-01-01,W001,P022,5,721.55
O000553,2023-01-01,W001,P037,3,279.99
O000554,2023-01-01,W002,P021,4,993.72
O000555,2023-01-01,W005,P048,5,5853.6
O000556,2023-01-01,W003,P004,11,1989.68
O000557,2023-01-01,W004,P028,15,16251.45
O000558,2023-01-01,W003,P044,9,10584.27
O000559,2023-01-01,W005,P043,12,5782.92
O000560,2023-01-01,W001,P026,5,8084.9
O000561,2023-01-01,W005,P030,7,907.97
O000562,2023-01-01,W002,P019,2,854.28
O000563,2023-01-01,W004,P044,19,22344.57
O000564,2023-01-01,W002,P039,3,2922.09
O000565,2023-01-01,W002,P048,6,7024.32
O000566,2023-01-01,W005,P021,3,745.29
O000567,2023-01-01,W005,P045,8,10595.12
O000568,2023-01-01,W003,P046,20,5327.0
O000569,2023-01-01,W002,P032,6,7103.94
O000570,2023-01-01,W004,P004,15,2713.2
O000571,2023-01-01,W002,P046,11,2929.85
O000572,2023-01-01,W002,P045,6,7946.34
O000573,2023-01-01,W002,P032,8,9471.92
O000574,2023-01-01,W003,P043,10,4819.1
O000575,2023-01-01,W001,P036,8,8270.32
O000576,2023-01-01,W003,P028,20,21668.6
O000577,2023-01-01,W003,P049,8,6369.12
O000578,2023-01-01,W004,P005,10,10091.3
O000579,2023-01-01,W003,P019,2,854.28
O000580,2023-01-01,W005,P026,8,12935.84
O000581,2023-01-01,W002,P021,1,248.43
O000582,2023-01-01,W003,P030,4,518.84
O000583,2023-01-01,W005,P009,9,4622.22
O000584,2023-01-01,W004,P019,2,854.28
O000585,2023-01-01,W002,P014,11,3977.38
