snapshot_date,warehouse_id,product_id,stock_on_hand
2023-01-01,W003,P022,204
2023-01-01,W003,P023,119
2023-01-01,W003,P024,146
2023-01-01,W003,P025,402
2023-01-01,W003,P026,141
2023-01-01,W003,P027,89
2023-01-01,W003,P028,101
2023-01-01,W003,P029,491
2023-01-01,W003,P030,262
2023-01-01,W003,P031,564
2023-01-01,W003,P032,530
2023-01-01,W003,P033,720
2023-01-01,W003,P034,426
2023-01-01,W003,P035,78
2023-01-01,W003,P036,166
2023-01-01,W003,P037,473
2023-01-01,W003,P038,620
2023-01-01,W003,P039,583
2023-01-01,W003,P040,416
2023-01-01,W003,P041,300
2023-01-01,W003,P042,78
2023-01-01,W003,P043,50
2023-01-01,W003,P044,118
2023-01-01,W003,P045,140
2023-01-01,W003,P046,130
2023-01-01,W003,P047,228
2023-01-01,W003,P048,79
2023-01-01,W003,P049,167
2023-01-01,W003,P050,54
2023-01-01,W004,P001,234
2023-01-01,W004,P002,59
2023-01-01,W004,P003,115
2023-01-01,W004,P004,80
2023-01-01,W004,P005,221
2023-01-01,W004,P006,274
2023-01-01,W004,P007,409
2023-01-01,W004,P008,119
2023-01-01,W004,P009,183
2023-01-01,W004,P010,142
2023-01-01,W004,P011,123
2023-01-01,W004,P012,297
2023-01-01,W004,P013,0
2023-01-01,W004,P014,81
2023-01-01,W004,P015,542
2023-01-01,W004,P016,254
2023-01-01,W004,P017,74
2023-01-01,W004,P018,174
2023-01-01,W004,P019,349
2023-01-01,W004,P020,0
2023-01-01,W004,P021,520
2023-01-01,W004,P022,240
2023-01-01,W004,P023,104
2023-01-01,W004,P024,102
2023-01-01,W004,P025,539
2023-01-01,W004,P026,143
2023-01-01,W004,P027,56
2023-01-01,W004,P028,136
2023-01-01,W004,P029,350
2023-01-01,W004,P030,165
2023-01-01,W004,P031,506
2023-01-01,W004,P032,472
2023-01-01,W004,P033,708
2023-01-01,W004,P034,427
2023-01-01,W004,P035,74
2023-01-01,W004,P036,198
2023-01-01,W004,P037,574
2023-01-01,W004,P038,1056
2023-01-01,W004,P039,371
2023-01-01,W004,P040,516
2023-01-01,W004,P041,196
2023-01-01,W004,P042,85
2023-01-01,W004,P043,109
2023-01-01,W004,P044,162
2023-01-01,W004,P045,59
2023-01-01,W004,P046,106
2023-01-01,W004,P047,480
2023-01-01,W004,P048,62
2023-01-01,W004,P049,162
2023-01-01,W004,P050,133
2023-01-01,W005,P001,288
2023-01-01,W005,P002,51
2023-01-01,W005,P003,61
2023-01-01,W005,P004,146
2023-01-01,W005,P005,210
2023-01-01,W005,P006,192
2023-01-01,W005,P007,508
2023-01-01,W005,P008,112
2023-01-01,W005,P009,273
2023-01-01,W005,P010,77
2023-01-01,W005,P011,101
2023-01-01,W005,P012,165
2023-01-01,W005,P013,0
2023-01-01,W005,P014,98
2023-01-01,W005,P015,300
2023-01-01,W005,P016,249
2023-01-01,W005,P017,83
2023-01-01,W005,P018,266
2023-01-01,W005,P019,446
2023-01-01,W005,P020,0
2023-01-01,W005,P021,584
2023-01-01,W005,P022,274
2023-01-01,W005,P023,69
2023-01-01,W005,P024,74
2023-01-01,W005,P025,451
2023-01-01,W005,P026,77
2023-01-01,W005,P027,57
2023-01-01,W005,P028,124
2023-01-01,W005,P029,577
2023-01-01,W005,P030,165
2023-01-01,W005,P031,460
2023-01-01,W005,P032,328
2023-01-01,W005,P033,648
2023-01-01,W005,P034,599
2023-01-01,W005,P035,111
2023-01-01,W005,P036,278
2023-01-01,W005,P037,571
2023-01-01,W005,P038,760
2023-01-01,W005,P039,329
2023-01-01,W005,P040,560
2023-01-01,W005,P041,170
2023-01-01,W005,P042,73
2023-01-01,W005,P043,58
2023-01-01,W005,P044,252
2023-01-01,W005,P045,58
2023-01-01,W005,P046,136
2023-01-01,W005,P047,320
2023-01-01,W005,P048,101
2023-01-01,W005,P049,180
2023-01-01,W005,P050,122
2023-02-01,W001,P001,213
2023-02-01,W001,P002,124
2023-02-01,W001,P003,126
2023-02-01,W001,P004,55
2023-02-01,W001,P005,170
2023-02-01,W001,P006,0
2023-02-01,W001,P007,598
2023-02-01,W001,P008,122
2023-02-01,W001,P009,283
2023-02-01,W001,P010,90
2023-02-01,W001,P011,83
2023-02-01,W001,P012,202
2023-02-01,W001,P013,135
2023-02-01,W001,P014,141
2023-02-01,W001,P015,460
2023-02-01,W001,P016,211
2023-02-01,W001,P017,83
2023-02-01,W001,P018,251
2023-02-01,W001,P019,367
2023-02-01,W001,P020,135
2023-02-01,W001,P021,453
2023-02-01,W001,P022,267
2023-02-01,W001,P023,90
2023-02-01,W001,P024,146
2023-02-01,W001,P025,337
2023-02-01,W001,P026,51
2023-02-01,W001,P027,108
2023-02-01,W001,P028,129
2023-02-01,W001,P029,588
2023-02-01,W001,P030,175
2023-02-01,W001,P031,337
2023-02-01,W001,P032,574
2023-02-01,W001,P033,816
2023-02-01,W001,P034,559
2023-02-01,W001,P035,0
2023-02-01,W001,P036,183
2023-02-01,W001,P037,478
2023-02-01,W001,P038,668
2023-02-01,W001,P039,425
2023-02-01,W001,P040,488
2023-02-01,W001,P041,222
2023-02-01,W001,P042,70
2023-02-01,W001,P043,106
2023-02-01,W001,P044,238
2023-02-01,W001,P045,140
2023-02-01,W001,P046,88
2023-02-01,W001,P047,512
2023-02-01,W001,P048,133
2023-02-01,W001,P049,285
2023-02-01,W001,P050,51
2023-02-01,W002,P001,291
2023-02-01,W002,P002,88
2023-02-01,W002,P003,134
2023-02-01,W002,P004,63
2023-02-01,W002,P005,184
2023-02-01,W002,P006,0
2023-02-01,W002,P007,359
2023-02-01,W002,P008,63
2023-02-01,W002,P009,291
2023-02-01,W002,P010,69
2023-02-01,W002,P011,84
2023-02-01,W002,P012,222
2023-02-01,W002,P013,127
2023-02-01,W002,P014,76
2023-02-01,W002,P015,474
2023-02-01,W002,P016,202
2023-02-01,W002,P017,137
2023-02-01,W002,P018,217
2023-02-01,W002,P019,558
2023-02-01,W002,P020,112
2023-02-01,W002,P021,428
2023-02-01,W002,P022,163
2023-02-01,W002,P023,61
2023-02-01,W002,P024,131
2023-02-01,W002,P025,516
2023-02-01,W002,P026,85
2023-02-01,W002,P027,55
2023-02-01,W002,P028,50
2023-02-01,W002,P029,470
2023-02-01,W002,P030,183
2023-02-01,W002,P031,434
2023-02-01,W002,P032,382
2023-02-01,W002,P033,1052
2023-02-01,W002,P034,582
2023-02-01,W002,P035,0
2023-02-01,W002,P036,259
2023-02-01,W002,P037,587
2023-02-01,W002,P038,608
2023-02-01,W002,P039,357
2023-02-01,W002,P040,338
2023-02-01,W002,P041,188
2023-02-01,W002,P042,119
2023-02-01,W002,P043,54
2023-02-01,W002,P044,194
2023-02-01,W002,P045,124
2023-02-01,W002,P046,120
2023-02-01,W002,P047,272
2023-02-01,W002,P048,105
2023-02-01,W002,P049,182
2023-02-01,W002,P050,55
2023-02-01,W003,P001,228
2023-02-01,W003,P002,96
2023-02-01,W003,P003,55
2023-02-01,W003,P004,95
2023-02-01,W003,P005,203
2023-02-01,W003,P006,0
2023-02-01,W003,P007,352
2023-02-01,W003,P008,95
2023-02-01,W003,P009,293
2023-02-01,W003,P010,102
2023-02-01,W003,P011,129
2023-02-01,W003,P012,189
2023-02-01,W003,P013,80
2023-02-01,W003,P014,70
2023-02-01,W003,P015,390
2023-02-01,W003,P016,255
2023-02-01,W003,P017,53
2023-02-01,W003,P018,195
2023-02-01,W003,P019,470
2023-02-01,W003,P020,150
2023-02-01,W003,P021,510
2023-02-01,W003,P022,213
2023-02-01,W003,P023,84
2023-02-01,W003,P024,70
2023-02-01,W003,P025,355
2023-02-01,W003,P026,98
2023-02-01,W003,P027,54
2023-02-01,W003,P028,110
2023-02-01,W003,P029,413
2023-02-01,W003,P030,201
2023-02-01,W003,P031,535
2023-02-01,W003,P032,478
2023-02-01,W003,P033,912
2023-02-01,W003,P034,416
2023-02-01,W003,P035,0
2023-02-01,W003,P036,156
2023-02-01,W003,P037,398
2023-02-01,W003,P038,1008
2023-02-01,W003,P039,468
2023-02-01,W003,P040,442
2023-02-01,W003,P041,167
2023-02-01,W003,P042,148
2023-02-01,W003,P043,85
2023-02-01,W003,P044,188
2023-02-01,W003,P045,132
2023-02-01,W003,P046,115
2023-02-01,W003,P047,404
2023-02-01,W003,P048,136
2023-02-01,W003,P049,287
2023-02-01,W003,P050,92
2023-02-01,W004,P001,157
2023-02-01,W004,P002,64
2023-02-01,W004,P003,83
2023-02-01,W004,P004,72
2023-02-01,W004,P005,298
2023-02-01,W004,P006,0
2023-02-01,W004,P007,319
2023-02-01,W004,P008,63
2023-02-01,W004,P009,261
2023-02-01,W004,P010,94
2023-02-01,W004,P011,143
2023-02-01,W004,P012,230
2023-02-01,W004,P013,105
2023-02-01,W004,P014,127
2023-02-01,W004,P015,560
2023-02-01,W004,P016,179
2023-02-01,W004,P017,99
2023-02-01,W004,P018,297
2023-02-01,W004,P019,397
2023-02-01,W004,P020,82
2023-02-01,W004,P021,322
2023-02-01,W004,P022,261
2023-02-01,W004,P023,50
2023-02-01,W004,P024,116
2023-02-01,W004,P025,575
2023-02-01,W004,P026,137
2023-02-01,W004,P027,142
2023-02-01,W004,P028,144
2023-02-01,W004,P029,400
2023-02-01,W004,P030,243
2023-02-01,W004,P031,520
2023-02-01,W004,P032,334
2023-02-01,W004,P033,936
2023-02-01,W004,P034,460
2023-02-01,W004,P035,0
2023-02-01,W004,P036,181
2023-02-01,W004,P037,453
2023-02-01,W004,P038,1116
2023-02-01,W004,P039,458
2023-02-01,W004,P040,508
2023-02-01,W004,P041,233
2023-02-01,W004,P042,101
2023-02-01,W004,P043,139
2023-02-01,W004,P044,174
2023-02-01,W004,P045,120
2023-02-01,W004,P046,66
2023-02-01,W004,P047,296
2023-02-01,W004,P048,103
2023-02-01,W004,P049,247
2023-02-01,W004,P050,136
2023-02-01,W005,P001,194
2023-02-01,W005,P002,128
2023-02-01,W005,P003,122
2023-02-01,W005,P004,88
2023-02-01,W005,P005,253
2023-02-01,W005,P006,0
2023-02-01,W005,P007,300
2023-02-01,W005,P008,88
2023-02-01,W005,P009,223
2023-02-01,W005,P010,76
2023-02-01,W005,P011,105
2023-02-01,W005,P012,298
2023-02-01,W005,P013,127
2023-02-01,W005,P014,133
2023-02-01,W005,P015,464
2023-02-01,W005,P016,269
2023-02-01,W005,P017,106
2023-02-01,W005,P018,263
2023-02-01,W005,P019,409
2023-02-01,W005,P020,115
2023-02-01,W005,P021,542
2023-02-01,W005,P022,193
2023-02-01,W005,P023,134
2023-02-01,W005,P024,60
2023-02-01,W005,P025,445
2023-02-01,W005,P026,115
2023-02-01,W005,P027,134
2023-02-01,W005,P028,131
2023-02-01,W005,P029,471
2023-02-01,W005,P030,173
2023-02-01,W005,P031,420
2023-02-01,W005,P032,458
2023-02-01,W005,P033,828
2023-02-01,W005,P034,401
2023-02-01,W005,P035,0
2023-02-01,W005,P036,156
2023-02-01,W005,P037,323
2023-02-01,W005,P038,848
2023-02-01,W005,P039,543
2023-02-01,W005,P040,336
2023-02-01,W005,P041,266
2023-02-01,W005,P042,103
2023-02-01,W005,P043,130
2023-02-01,W005,P044,246
2023-02-01,W005,P045,74
2023-02-01,W005,P046,141
2023-02-01,W005,P047,556
2023-02-01,W005,P048,99
2023-02-01,W005,P049,276
2023-02-01,W005,P050,101
2023-03-01,W001,P001,212
2023-03-01,W001,P002,68
2023-03-01,W001,P003,133
2023-03-01,W001,P004,138
2023-03-01,W001,P005,151
2023-03-01,W001,P006,177
2023-03-01,W001,P007,517
2023-03-01,W001,P008,78
2023-03-01,W001,P009,195
2023-03-01,W001,P010,139
2023-03-01,W001,P011,116
2023-03-01,W001,P012,268
2023-03-01,W001,P013,56
2023-03-01,W001,P014,121
2023-03-01,W001,P015,426
2023-03-01,W001,P016,181
2023-03-01,W001,P017,108
2023-03-01,W001,P018,184
2023-03-01,W001,P019,537
2023-03-01,W001,P020,135
2023-03-01,W001,P021,571
2023-03-01,W001,P022,293
2023-03-01,W001,P023,126
2023-03-01,W001,P024,90
2023-03-01,W001,P025,526
2023-03-01,W001,P026,128
2023-03-01,W001,P027,142
2023-03-01,W001,P028,114
2023-03-01,W001,P029,518
2023-03-01,W001,P030,290
2023-03-01,W001,P031,528
2023-03-01,W001,P032,380
2023-03-01,W001,P033,1084
2023-03-01,W001,P034,530
2023-03-01,W001,P035,83
2023-03-01,W001,P036,213
2023-03-01,W001,P037,441
2023-03-01,W001,P038,1132
2023-03-01,W001,P039,548
2023-03-01,W001,P040,422
2023-03-01,W001,P041,220
2023-03-01,W001,P042,106
2023-03-01,W001,P043,59
2023-03-01,W001,P044,282
2023-03-01,W001,P045,86
2023-03-01,W001,P046,80
2023-03-01,W001,P047,336
2023-03-01,W001,P048,92
2023-03-01,W001,P049,231
2023-03-01,W001,P050,0
2023-03-01,W002,P001,170
2023-03-01,W002,P002,67
2023-03-01,W002,P003,69
2023-03-01,W002,P004,79
2023-03-01,W002,P005,248
2023-03-01,W002,P006,189
2023-03-01,W002,P007,409
2023-03-01,W002,P008,58
2023-03-01,W002,P009,256
2023-03-01,W002,P010,102
2023-03-01,W002,P011,92
2023-03-01,W002,P012,288
2023-03-01,W002,P013,109
2023-03-01,W002,P014,103
2023-03-01,W002,P015,330
2023-03-01,W002,P016,202
2023-03-01,W002,P017,103
2023-03-01,W002,P018,249
2023-03-01,W002,P019,599
2023-03-01,W002,P020,139
2023-03-01,W002,P021,310
2023-03-01,W002,P022,297
2023-03-01,W002,P023,98
2023-03-01,W002,P024,111
2023-03-01,W002,P025,303
2023-03-01,W002,P026,95
2023-03-01,W002,P027,88
2023-03-01,W002,P028,146
2023-03-01,W002,P029,499
2023-03-01,W002,P030,257
2023-03-01,W002,P031,575
2023-03-01,W002,P032,578
2023-03-01,W002,P033,824
2023-03-01,W002,P034,549
2023-03-01,W002,P035,78
2023-03-01,W002,P036,219
2023-03-01,W002,P037,523
2023-03-01,W002,P038,1096
2023-03-01,W002,P039,314
2023-03-01,W002,P040,498
2023-03-01,W002,P041,236
2023-03-01,W002,P042,135
2023-03-01,W002,P043,136
2023-03-01,W002,P044,202
2023-03-01,W002,P045,142
2023-03-01,W002,P046,71
2023-03-01,W002,P047,436
2023-03-01,W002,P048,66
2023-03-01,W002,P049,286
2023-03-01,W002,P050,0
2023-03-01,W003,P001,250
2023-03-01,W003,P002,125
2023-03-01,W003,P003,122
2023-03-01,W003,P004,134
2023-03-01,W003,P005,156
2023-03-01,W003,P006,171
2023-03-01,W003,P007,519
2023-03-01,W003,P008,67
2023-03-01,W003,P009,268
2023-03-01,W003,P010,73
2023-03-01,W003,P011,56
2023-03-01,W003,P012,216
2023-03-01,W003,P013,98
2023-03-01,W003,P014,91
2023-03-01,W003,P015,408
2023-03-01,W003,P016,266
2023-03-01,W003,P017,91
2023-03-01,W003,P018,236
2023-03-01,W003,P019,494
2023-03-01,W003,P020,85
2023-03-01,W003,P021,515
2023-03-01,W003,P022,214
2023-03-01,W003,P023,60
2023-03-01,W003,P024,110
2023-03-01,W003,P025,309
2023-03-01,W003,P026,145
2023-03-01,W003,P027,119
2023-03-01,W003,P028,56
2023-03-01,W003,P029,479
2023-03-01,W003,P030,207
2023-03-01,W003,P031,335
2023-03-01,W003,P032,320
2023-03-01,W003,P033,628
2023-03-01,W003,P034,426
2023-03-01,W003,P035,75
2023-03-01,W003,P036,155
2023-03-01,W003,P037,378
2023-03-01,W003,P038,844
2023-03-01,W003,P039,364
2023-03-01,W003,P040,542
2023-03-01,W003,P041,179
2023-03-01,W003,P042,122
2023-03-01,W003,P043,77
2023-03-01,W003,P044,218
2023-03-01,W003,P045,139
2023-03-01,W003,P046,82
2023-03-01,W003,P047,592
2023-03-01,W003,P048,97
2023-03-01,W003,P049,192
2023-03-01,W003,P050,0
2023-03-01,W004,P001,179
2023-03-01,W004,P002,149
2023-03-01,W004,P003,70
2023-03-01,W004,P004,89
2023-03-01,W004,P005,177
2023-03-01,W004,P006,298
2023-03-01,W004,P007,313
2023-03-01,W004,P008,89
2023-03-01,W004,P009,297
2023-03-01,W004,P010,136
2023-03-01,W004,P011,98
2023-03-01,W004,P012,251
2023-03-01,W004,P013,141
2023-03-01,W004,P014,75
2023-03-01,W004,P015,338
2023-03-01,W004,P016,212
2023-03-01,W004,P017,63
2023-03-01,W004,P018,227
2023-03-01,W004,P019,361
2023-03-01,W004,P020,122
2023-03-01,W004,P021,321
2023-03-01,W004,P022,238
2023-03-01,W004,P023,118
2023-03-01,W004,P024,104
2023-03-01,W004,P025,489
2023-03-01,W004,P026,58
2023-03-01,W004,P027,114
2023-03-01,W004,P028,132
2023-03-01,W004,P029,474
2023-03-01,W004,P030,153
2023-03-01,W004,P031,515
2023-03-01,W004,P032,550
2023-03-01,W004,P033,708
2023-03-01,W004,P034,521
2023-03-01,W004,P035,96
2023-03-01,W004,P036,267
2023-03-01,W004,P037,378
2023-03-01,W004,P038,1044
2023-03-01,W004,P039,390
2023-03-01,W004,P040,566
2023-03-01,W004,P041,219
2023-03-01,W004,P042,128
2023-03-01,W004,P043,118
2023-03-01,W004,P044,298
2023-03-01,W004,P045,111
2023-03-01,W004,P046,109
2023-03-01,W004,P047,420
2023-03-01,W004,P048,143
2023-03-01,W004,P049,218
2023-03-01,W004,P050,0
2023-03-01,W005,P001,212
2023-03-01,W005,P002,61
2023-03-01,W005,P003,85
2023-03-01,W005,P004,107
2023-03-01,W005,P005,212
2023-03-01,W005,P006,268
2023-03-01,W005,P007,591
2023-03-01,W005,P008,128
2023-03-01,W005,P009,247
2023-03-01,W005,P010,93
2023-03-01,W005,P011,53
2023-03-01,W005,P012,276
2023-03-01,W005,P013,91
2023-03-01,W005,P014,73
2023-03-01,W005,P015,548
2023-03-01,W005,P016,204
2023-03-01,W005,P017,95
2023-03-01,W005,P018,216
2023-03-01,W005,P019,474
2023-03-01,W005,P020,85
2023-03-01,W005,P021,441
2023-03-01,W005,P022,292
2023-03-01,W005,P023,51
2023-03-01,W005,P024,116
2023-03-01,W005,P025,397
2023-03-01,W005,P026,60
2023-03-01,W005,P027,80
2023-03-01,W005,P028,142
2023-03-01,W005,P029,508
2023-03-01,W005,P030,275
2023-03-01,W005,P031,584
2023-03-01,W005,P032,422
2023-03-01,W005,P033,1084
2023-03-01,W005,P034,551
2023-03-01,W005,P035,107
2023-03-01,W005,P036,154
2023-03-01,W005,P037,347
2023-03-01,W005,P038,900
2023-03-01,W005,P039,413
2023-03-01,W005,P040,506
2023-03-01,W005,P041,212
2023-03-01,W005,P042,89
2023-03-01,W005,P043,134
2023-03-01,W005,P044,248
2023-03-01,W005,P045,97
2023-03-01,W005,P046,110
2023-03-01,W005,P047,480
2023-03-01,W005,P048,117
2023-03-01,W005,P049,238
2023-03-01,W005,P050,0
2023-04-01,W001,P001,290
2023-04-01,W001,P002,92
2023-04-01,W001,P003,95
2023-04-01,W001,P004,139
2023-04-01,W001,P005,266
2023-04-01,W001,P006,219
2023-04-01,W001,P007,456
2023-04-01,W001,P008,82
2023-04-01,W001,P009,209
2023-04-01,W001,P010,65
2023-04-01,W001,P011,142
2023-04-01,W001,P012,199
2023-04-01,W001,P013,90
2023-04-01,W001,P014,65
2023-04-01,W001,P015,574
2023-04-01,W001,P016,197
2023-04-01,W001,P017,74
2023-04-01,W001,P018,205
2023-04-01,W001,P019,547
2023-04-01,W001,P020,85
2023-04-01,W001,P021,568
2023-04-01,W001,P022,222
2023-04-01,W001,P023,62
2023-04-01,W001,P024,74
2023-04-01,W001,P025,451
2023-04-01,W001,P026,79
2023-04-01,W001,P027,96
2023-04-01,W001,P028,72
2023-04-01,W001,P029,454
2023-04-01,W001,P030,153
2023-04-01,W001,P031,573
2023-04-01,W001,P032,364
2023-04-01,W001,P033,880
2023-04-01,W001,P034,323
2023-04-01,W001,P035,0
2023-04-01,W001,P036,291
2023-04-01,W001,P037,449
2023-04-01,W001,P038,728
2023-04-01,W001,P039,551
2023-04-01,W001,P040,352
2023-04-01,W001,P041,153
2023-04-01,W001,P042,123
2023-04-01,W001,P043,86
2023-04-01,W001,P044,220
2023-04-01,W001,P045,111
2023-04-01,W001,P046,106
2023-04-01,W001,P047,372
2023-04-01,W001,P048,73
2023-04-01,W001,P049,163
2023-04-01,W001,P050,82
2023-04-01,W002,P001,272
2023-04-01,W002,P002,64
2023-04-01,W002,P003,58
2023-04-01,W002,P004,101
2023-04-01,W002,P005,275
2023-04-01,W002,P006,168
2023-04-01,W002,P007,595
2023-04-01,W002,P008,130
2023-04-01,W002,P009,163
2023-04-01,W002,P010,69
2023-04-01,W002,P011,69
2023-04-01,W002,P012,294
2023-04-01,W002,P013,88
2023-04-01,W002,P014,60
2023-04-01,W002,P015,426
2023-04-01,W002,P016,180
2023-04-01,W002,P017,121
2023-04-01,W002,P018,256
2023-04-01,W002,P019,415
2023-04-01,W002,P020,149
2023-04-01,W002,P021,567
2023-04-01,W002,P022,247
2023-04-01,W002,P023,107
2023-04-01,W002,P024,106
2023-04-01,W002,P025,452
2023-04-01,W002,P026,125
2023-04-01,W002,P027,104
2023-04-01,W002,P028,89
2023-04-01,W002,P029,591
2023-04-01,W002,P030,165
2023-04-01,W002,P031,350
2023-04-01,W002,P032,406
2023-04-01,W002,P033,816
2023-04-01,W002,P034,435
2023-04-01,W002,P035,0
2023-04-01,W002,P036,170
2023-04-01,W002,P037,380
2023-04-01,W002,P038,844
2023-04-01,W002,P039,388
2023-04-01,W002,P040,582
2023-04-01,W002,P041,169
2023-04-01,W002,P042,70
2023-04-01,W002,P043,50
2023-04-01,W002,P044,204
2023-04-01,W002,P045,107
2023-04-01,W002,P046,138
2023-04-01,W002,P047,504
2023-04-01,W002,P048,110
2023-04-01,W002,P049,224
2023-04-01,W002,P050,54
2023-04-01,W003,P001,209
2023-04-01,W003,P002,86
2023-04-01,W003,P003,140
2023-04-01,W003,P004,86
2023-04-01,W003,P005,266
2023-04-01,W003,P006,168
2023-04-01,W003,P007,419
2023-04-01,W003,P008,83
2023-04-01,W003,P009,300
2023-04-01,W003,P010,134
2023-04-01,W003,P011,75
2023-04-01,W003,P012,258
2023-04-01,W003,P013,64
2023-04-01,W003,P014,119
2023-04-01,W003,P015,414
2023-04-01,W003,P016,188
2023-04-01,W003,P017,84
2023-04-01,W003,P018,186
2023-04-01,W003,P019,336
2023-04-01,W003,P020,57
2023-04-01,W003,P021,384
2023-04-01,W003,P022,228
2023-04-01,W003,P023,126
2023-04-01,W003,P024,145
2023-04-01,W003,P025,591
2023-04-01,W003,P026,86
2023-04-01,W003,P027,106
2023-04-01,W003,P028,65
2023-04-01,W003,P029,539
2023-04-01,W003,P030,227
2023-04-01,W003,P031,506
2023-04-01,W003,P032,438
2023-04-01,W003,P033,1112
2023-04-01,W003,P034,576
2023-04-01,W003,P035,0
2023-04-01,W003,P036,262
2023-04-01,W003,P037,341
2023-04-01,W003,P038,640
2023-04-01,W003,P039,521
2023-04-01,W003,P040,464
2023-04-01,W003,P041,214
2023-04-01,W003,P042,53
2023-04-01,W003,P043,61
2023-04-01,W003,P044,158
2023-04-01,W003,P045,136
2023-04-01,W003,P046,123
2023-04-01,W003,P047,500
2023-04-01,W003,P048,52
2023-04-01,W003,P049,218
2023-04-01,W003,P050,123
2023-04-01,W004,P001,160
2023-04-01,W004,P002,147
2023-04-01,W004,P003,146
2023-04-01,W004,P004,72
2023-04-01,W004,P005,270
2023-04-01,W004,P006,282
2023-04-01,W004,P007,526
2023-04-01,W004,P008,85
2023-04-01,W004,P009,196
2023-04-01,W004,P010,124
2023-04-01,W004,P011,105
2023-04-01,W004,P012,275
2023-04-01,W004,P013,61
2023-04-01,W004,P014,110
2023-04-01,W004,P015,478
2023-04-01,W004,P016,254
2023-04-01,W004,P017,92
2023-04-01,W004,P018,232
2023-04-01,W004,P019,353
2023-04-01,W004,P020,70
2023-04-01,W004,P021,468
2023-04-01,W004,P022,255
2023-04-01,W004,P023,138
2023-04-01,W004,P024,113
2023-04-01,W004,P025,447
2023-04-01,W004,P026,134
2023-04-01,W004,P027,101
2023-04-01,W004,P028,147
2023-04-01,W004,P029,581
