shipment_id,order_id,ship_date,delivery_date,status
SH000156,O000156,2023-01-04,2023-01-08,Delivered
SH000157,O000157,2023-01-04,2023-01-09,Delivered
SH000158,O000158,2023-01-04,2023-01-07,Delivered
SH000159,O000159,2023-01-04,2023-01-07,Delivered
SH000160,O000160,2023-01-03,2023-01-05,Delivered
SH000161,O000161,2023-01-04,2023-01-06,Delivered
SH000162,O000162,2023-01-04,2023-01-08,Delivered
SH000163,O000163,2023-01-04,2023-01-09,Delivered
SH000164,O000164,2023-01-02,2023-01-04,Delivered
SH000165,O000165,2023-01-02,2023-01-06,Delivered
SH000166,O000166,2023-01-03,2023-01-05,Delivered
SH000167,O000167,2023-01-04,2023-01-09,Delivered
SH000168,O000168,2023-01-03,2023-01-08,Delivered
SH000169,O000169,2023-01-04,2023-01-06,Delivered
SH000170,O000170,2023-01-04,2023-01-06,Delivered
SH000171,O000171,2023-01-04,2023-01-08,Delivered
SH000172,O000172,2023-01-02,2023-01-07,Delivered
SH000173,O000173,2023-01-03,2023-01-07,Delivered
SH000174,O000174,2023-01-04,2023-01-07,Delivered
SH000175,O000175,2023-01-03,2023-01-07,Delivered
SH000176,O000176,2023-01-02,2023-01-04,Delivered
SH000177,O000177,2023-01-02,2023-01-06,Delivered
SH000178,O000178,2023-01-04,2023-01-07,Delivered
SH000179,O000179,2023-01-03,2023-01-09,Delayed
SH000180,O000180,2023-01-04,2023-01-09,Delivered
SH000181,O000181,2023-01-04,2023-01-06,Delivered
SH000182,O000182,2023-01-03,2023-01-08,Delivered
SH000183,O000183,2023-01-04,2023-01-06,Delivered
SH000184,O000184,2023-01-04,2023-01-07,Delivered
SH000185,O000185,2023-01-02,2023-01-05,Delivered
SH000186,O000186,2023-01-03,,Cancelled
SH000187,O000187,2023-01-04,,Cancelled
SH000188,O000188,2023-01-02,2023-01-06,Delivered
SH000189,O000189,2023-01-03,2023-01-06,Delivered
SH000190,O000190,2023-01-04,2023-01-06,Delivered
SH000191,O000191,2023-01-02,2023-01-05,Delivered
SH000192,O000192,2023-01-04,2023-01-08,Delivered
SH000193,O000193,2023-01-02,2023-01-05,Delivered
SH000194,O000194,2023-01-04,2023-01-08,Delivered
SH000195,O000195,2023-01-04,,Cancelled
SH000196,O000196,2023-01-03,2023-01-08,Delivered
SH000197,O000197,2023-01-02,,Cancelled
SH000198,O000198,2023-01-03,2023-01-06,Delivered
SH000199,O000199,2023-01-04,2023-01-07,Delivered
SH000200,O000200,2023-01-04,2023-01-08,Delivered
SH000201,O000201,2023-01-03,2023-01-08,Delivered
SH000202,O000202,2023-01-04,2023-01-07,Delivered
SH000203,O000203,2023-01-04,2023-01-09,Delivered
SH000204,O000204,2023-01-03,2023-01-07,Delivered
SH000205,O000205,2023-01-02,2023-01-04,Delivered
SH000206,O000206,2023-01-03,2023-01-06,Delivered
SH000207,O000207,2023-01-02,2023-01-07,Delivered
SH000208,O000208,2023-01-02,2023-01-06,Delivered
SH000209,O000209,2023-01-03,2023-01-06,Delivered
SH000210,O000210,2023-01-03,2023-01-13,Delayed
SH000211,O000211,2023-01-03,2023-01-10,Delayed
SH000212,O000212,2023-01-03,2023-01-05,Delivered
SH000213,O000213,2023-01-03,2023-01-07,Delivered
SH000214,O000214,2023-01-04,2023-01-07,Delivered
SH000215,O000215,2023-01-04,2023-01-09,Delivered
SH000216,O000216,2023-01-02,2023-01-06,Delivered
SH000217,O000217,2023-01-02,2023-01-07,Delivered
SH000218,O000218,2023-01-04,2023-01-09,Delivered
SH000219,O000219,2023-01-02,2023-01-05,Delivered
SH000220,O000220,2023-01-04,2023-01-06,Delivered
SH000221,O000221,2023-01-04,2023-01-08,Delivered
SH000222,O000222,2023-01-02,2023-01-07,Delivered
SH000223,O000223,2023-01-02,2023-01-13,Delayed
SH000224,O000224,2023-01-04,2023-01-07,Delivered
SH000225,O000225,2023-01-03,2023-01-08,Delivered
SH000226,O000226,2023-01-04,2023-01-14,Delayed
SH000227,O000227,2023-01-02,2023-01-04,Delivered
SH000228,O000228,2023-01-03,2023-01-05,Delivered
SH000229,O000229,2023-01-04,2023-01-09,Delivered
SH000230,O000230,2023-01-03,2023-01-05,Delivered
SH000231,O000231,2023-01-02,2023-01-04,Delivered
SH000232,O000232,2023-01-02,2023-01-07,Delivered
SH000233,O000233,2023-01-02,2023-01-11,Delayed
SH000234,O000234,2023-01-02,2023-01-05,Delivered
SH000235,O000235,2023-01-03,2023-01-07,Delivered
SH000236,O000236,2023-01-03,2023-01-08,Delivered
SH000237,O000237,2023-01-04,2023-01-09,Delivered
SH000238,O000238,2023-01-04,2023-01-09,Delivered
SH000239,O000239,2023-01-03,2023-01-07,Delivered
SH000240,O000240,2023-01-03,2023-01-05,Delivered
SH000241,O000241,2023-01-02,2023-01-06,Delivered
SH000242,O000242,2023-01-04,2023-01-06,Delivered
SH000243,O000243,2023-01-03,2023-01-06,Delivered
SH000244,O000244,2023-01-02,2023-01-12,Delayed
SH000245,O000245,2023-01-02,2023-01-05,Delivered
SH000246,O000246,2023-01-03,2023-01-08,Delivered
SH000247,O000247,2023-01-02,2023-01-10,Delayed
SH000248,O000248,2023-01-03,2023-01-05,Delivered
SH000249,O000249,2023-01-03,2023-01-06,Delivered
SH000250,O000250,2023-01-02,2023-01-07,Delivered
SH000251,O000251,2023-01-04,2023-01-13,Delayed
SH000252,O000252,2023-01-03,,Cancelled
SH000253,O000253,2023-01-02,2023-01-06,Delivered
SH000254,O000254,2023-01-02,2023-01-05,Delivered
SH000255,O000255,2023-01-02,2023-01-05,Delivered
SH000256,O000256,2023-01-03,2023-01-05,Delivered
SH000257,O000257,2023-01-02,2023-01-07,Delivered
SH000258,O000258,2023-01-04,2023-01-11,Delayed
SH000259,O000259,2023-01-03,2023-01-11,Delayed
SH000260,O000260,2023-01-02,2023-01-07,Delivered
SH000261,O000261,2023-01-03,2023-01-05,Delivered
SH000262,O000262,2023-01-04,2023-01-06,Delivered
SH000263,O000263,2023-01-03,2023-01-06,Delivered
SH000264,O000264,2023-01-02,2023-01-06,Delivered
SH000265,O000265,2023-01-03,2023-01-07,Delivered
SH000266,O000266,2023-01-04,,Cancelled
SH000267,O000267,2023-01-04,2023-01-08,Delivered
SH000268,O000268,2023-01-04,2023-01-06,Delivered
SH000269,O000269,2023-01-03,2023-01-08,Delivered
SH000270,O000270,2023-01-02,2023-01-05,Delivered
SH000271,O000271,2023-01-03,2023-01-06,Delivered
SH000272,O000272,2023-01-02,,Cancelled
SH000273,O000273,2023-01-04,2023-01-07,Delivered
SH000274,O000274,2023-01-03,2023-01-05,Delivered
SH000275,O000275,2023-01-03,,Cancelled
SH000276,O000276,2023-01-02,2023-01-04,Delivered
SH000277,O000277,2023-01-02,,Cancelled
SH000278,O000278,2023-01-04,,Cancelled
SH000279,O000279,2023-01-04,2023-01-09,Delivered
SH000280,O000280,2023-01-02,2023-01-08,Delayed
SH000281,O000281,2023-01-02,,Cancelled
SH000282,O000282,2023-01-03,2023-01-11,Delayed
SH000283,O000283,2023-01-04,2023-01-07,Delivered
SH000284,O000284,2023-01-03,,Cancelled
SH000285,O000285,2023-01-04,2023-01-13,Delayed
SH000286,O000286,2023-01-02,2023-01-05,Delivered
SH000287,O000287,2023-01-04,2023-01-08,Delivered
SH000288,O000288,2023-01-04,2023-01-06,Delivered
SH000289,O000289,2023-01-02,2023-01-05,Delivered
SH000290,O000290,2023-01-03,2023-01-05,Delivered
SH000291,O000291,2023-01-03,2023-01-07,Delivered
SH000292,O000292,2023-01-03,2023-01-06,Delivered
SH000293,O000293,2023-01-02,2023-01-07,Delivered
SH000294,O000294,2023-01-03,2023-01-05,Delivered
SH000295,O000295,2023-01-02,2023-01-05,Delivered
SH000296,O000296,2023-01-02,2023-01-04,Delivered
SH000297,O000297,2023-01-03,2023-01-07,Delivered
SH000298,O000298,2023-01-04,2023-01-08,Delivered
SH000299,O000299,2023-01-03,2023-01-06,Delivered
SH000300,O000300,2023-01-03,2023-01-07,Delivered
SH000301,O000301,2023-01-02,2023-01-07,Delivered
SH000302,O000302,2023-01-04,2023-01-07,Delivered
SH000303,O000303,2023-01-03,2023-01-06,Delivered
SH000304,O000304,2023-01-03,2023-01-08,Delivered
SH000305,O000305,2023-01-02,2023-01-04,Delivered
SH000306,O000306,2023-01-03,2023-01-07,Delivered
SH000307,O000307,2023-01-02,2023-01-06,Delivered
SH000308,O000308,2023-01-04,2023-01-15,Delayed
SH000309,O000309,2023-01-03,2023-01-08,Delivered
SH000310,O000310,2023-01-04,2023-01-06,Delivered
SH000311,O000311,2023-01-03,2023-01-06,Delivered
SH000312,O000312,2023-01-02,2023-01-06,Delivered
SH000313,O000313,2023-01-02,2023-01-06,Delivered
SH000314,O000314,2023-01-02,2023-01-06,Delivered
SH000315,O000315,2023-01-03,2023-01-08,Delivered
SH000316,O000316,2023-01-04,2023-01-07,Delivered
SH000317,O000317,2023-01-02,2023-01-06,Delivered
SH000318,O000318,2023-01-04,2023-01-06,Delivered
SH000319,O000319,2023-01-04,2023-01-07,Delivered
SH000320,O000320,2023-01-04,2023-01-09,Delivered
SH000321,O000321,2023-01-03,2023-01-07,Delivered
SH000322,O000322,2023-01-02,2023-01-07,Delivered
SH000323,O000323,2023-01-02,2023-01-06,Delivered
SH000324,O000324,2023-01-03,2023-01-05,Delivered
SH000325,O000325,2023-01-04,2023-01-08,Delivered
SH000326,O000326,2023-01-02,2023-01-04,Delivered
SH000327,O000327,2023-01-03,2023-01-05,Delivered
SH000328,O000328,2023-01-02,2023-01-05,Delivered
SH000329,O000329,2023-01-04,2023-01-11,Delayed
SH000330,O000330,2023-01-02,2023-01-06,Delivered
SH000331,O000331,2023-01-03,2023-01-07,Delivered
SH000332,O000332,2023-01-03,2023-01-07,Delivered
SH000333,O000333,2023-01-02,2023-01-10,Delayed
SH000334,O000334,2023-01-03,2023-01-06,Delivered
SH000335,O000335,2023-01-02,2023-01-13,Delayed
SH000336,O000336,2023-01-02,2023-01-04,Delivered
SH000337,O000337,2023-01-04,2023-01-09,Delivered
SH000338,O000338,2023-01-02,2023-01-14,Delayed
SH000339,O000339,2023-01-03,2023-01-07,Delivered
SH000340,O000340,2023-01-04,2023-01-11,Delayed
SH000341,O000341,2023-01-04,2023-01-08,Delivered
SH000342,O000342,2023-01-02,2023-01-05,Delivered
SH000343,O000343,2023-01-04,2023-01-06,Delivered
SH000344,O000344,2023-01-04,2023-01-16,Delayed
SH000345,O000345,2023-01-04,2023-01-09,Delivered
SH000346,O000346,2023-01-03,2023-01-06,Delivered
SH000347,O000347,2023-01-04,2023-01-12,Delayed
SH000348,O000348,2023-01-02,2023-01-04,Delivered
SH000349,O000349,2023-01-04,2023-01-07,Delivered
SH000350,O000350,2023-01-02,2023-01-07,Delivered
SH000351,O000351,2023-01-04,2023-01-06,Delivered
SH000352,O000352,2023-01-02,2023-01-05,Delivered
SH000353,O000353,2023-01-04,2023-01-06,Delivered
SH000354,O000354,2023-01-03,2023-01-07,Delivered
SH000355,O000355,2023-01-02,2023-01-07,Delivered
SH000356,O000356,2023-01-03,2023-01-05,Delivered
SH000357,O000357,2023-01-03,2023-01-07,Delivered
SH000358,O000358,2023-01-04,2023-01-08,Delivered
SH000359,O000359,2023-01-03,2023-01-08,Delivered
SH000360,O000360,2023-01-02,2023-01-05,Delivered
SH000361,O000361,2023-01-02,2023-01-04,Delivered
SH000362,O000362,2023-01-04,2023-01-06,Delivered
SH000363,O000363,2023-01-04,2023-01-09,Delivered
SH000364,O000364,2023-01-03,2023-01-07,Delivered
SH000365,O000365,2023-01-02,2023-01-06,Delivered
SH000366,O000366,2023-01-04,2023-01-07,Delivered
SH000367,O000367,2023-01-02,2023-01-07,Delivered
SH000368,O000368,2023-01-03,2023-01-05,Delivered
SH000369,O000369,2023-01-03,2023-01-07,Delivered
SH000370,O000370,2023-01-04,2023-01-06,Delivered
SH000371,O000371,2023-01-02,2023-01-04,Delivered
SH000372,O000372,2023-01-04,2023-01-08,Delivered
SH000373,O000373,2023-01-02,2023-01-07,Delivered
SH000374,O000374,2023-01-04,2023-01-06,Delivered
SH000375,O000375,2023-01-04,2023-01-06,Delivered
SH000376,O000376,2023-01-03,2023-01-08,Delivered
SH000377,O000377,2023-01-04,2023-01-08,Delivered
SH000378,O000378,2023-01-03,2023-01-08,Delivered
SH000379,O000379,2023-01-03,2023-01-07,Delivered
SH000380,O000380,2023-01-04,2023-01-07,Delivered
SH000381,O000381,2023-01-04,2023-01-08,Delivered
SH000382,O000382,2023-01-03,,Cancelled
SH000383,O000383,2023-01-03,2023-01-10,Delayed
SH000384,O000384,2023-01-04,2023-01-09,Delivered
SH000385,O000385,2023-01-04,2023-01-08,Delivered
SH000386,O000386,2023-01-03,2023-01-06,Delivered
SH000387,O000387,2023-01-02,2023-01-07,Delivered
SH000388,O000388,2023-01-02,2023-01-07,Delivered
SH000389,O000389,2023-01-04,2023-01-06,Delivered
SH000390,O000390,2023-01-03,2023-01-08,Delivered
SH000391,O000391,2023-01-03,2023-01-06,Delivered
SH000392,O000392,2023-01-03,2023-01-08,Delivered
SH000393,O000393,2023-01-03,2023-01-08,Delivered
SH000394,O000394,2023-01-03,2023-01-07,Delivered
SH000395,O000395,2023-01-04,2023-01-07,Delivered
SH000396,O000396,2023-01-02,2023-01-04,Delivered
SH000397,O000397,2023-01-04,,Cancelled
SH000398,O000398,2023-01-02,,Cancelled
SH000399,O000399,2023-01-03,2023-01-08,Delivered
SH000400,O000400,2023-01-03,2023-01-08,Delivered
SH000401,O000401,2023-01-04,2023-01-08,Delivered
SH000402,O000402,2023-01-02,2023-01-06,Delivered
SH000403,O000403,2023-01-02,2023-01-06,Delivered
SH000404,O000404,2023-01-02,2023-01-12,Delayed
SH000405,O000405,2023-01-03,,Cancelled
SH000406,O000406,2023-01-03,2023-01-05,Delivered
SH000407,O000407,2023-01-03,2023-01-05,Delivered
SH000408,O000408,2023-01-03,2023-01-08,Delivered
SH000409,O000409,2023-01-02,2023-01-06,Delivered
SH000410,O000410,2023-01-02,2023-01-04,Delivered
SH000411,O000411,2023-01-04,2023-01-08,Delivered
SH000412,O000412,2023-01-03,2023-01-08,Delivered
SH000413,O000413,2023-01-04,2023-01-09,Delivered
SH000414,O000414,2023-01-04,2023-01-09,Delivered
SH000415,O000415,2023-01-02,2023-01-05,Delivered
SH000416,O000416,2023-01-03,2023-01-06,Delivered
SH000417,O000417,2023-01-03,2023-01-08,Delivered
SH000418,O000418,2023-01-03,2023-01-07,Delivered
SH000419,O000419,2023-01-02,2023-01-13,Delayed
SH000420,O000420,2023-01-03,2023-01-07,Delivered
SH000421,O000421,2023-01-04,2023-01-10,Delayed
SH000422,O000422,2023-01-03,2023-01-11,Delayed
SH000423,O000423,2023-01-03,2023-01-06,Delivered
SH000424,O000424,2023-01-03,2023-01-05,Delivered
SH000425,O000425,2023-01-04,2023-01-06,Delivered
SH000426,O000426,2023-01-03,2023-01-08,Delivered
SH000427,O000427,2023-01-04,,Cancelled
SH000428,O000428,2023-01-02,2023-01-05,Delivered
SH000429,O000429,2023-01-03,2023-01-07,Delivered
SH000430,O000430,2023-01-02,2023-01-14,Delayed
SH000431,O000431,2023-01-04,2023-01-06,Delivered
SH000432,O000432,2023-01-03,2023-01-07,Delivered
SH000433,O000433,2023-01-02,2023-01-07,Delivered
SH000434,O000434,2023-01-02,2023-01-07,Delivered
SH000435,O000435,2023-01-04,2023-01-06,Delivered
SH000436,O000436,2023-01-04,2023-01-08,Delivered
SH000437,O000437,2023-01-03,2023-01-07,Delivered
SH000438,O000438,2023-01-04,2023-01-08,Delivered
SH000439,O000439,2023-01-03,2023-01-08,Delivered
SH000440,O000440,2023-01-03,2023-01-07,Delivered
SH000441,O000441,2023-01-03,2023-01-05,Delivered
SH000442,O000442,2023-01-03,2023-01-09,Delayed
SH000443,O000443,2023-01-04,2023-01-07,Delivered
SH000444,O000444,2023-01-03,2023-01-05,Delivered
SH000445,O000445,2023-01-04,2023-01-07,Delivered
SH000446,O000446,2023-01-04,2023-01-07,Delivered
SH000447,O000447,2023-01-03,,Cancelled
SH000448,O000448,2023-01-03,2023-01-08,Delivered
SH000449,O000449,2023-01-02,2023-01-05,Delivered
SH000450,O000450,2023-01-02,2023-01-04,Delivered
SH000451,O000451,2023-01-03,2023-01-10,Delayed
SH000452,O000452,2023-01-02,2023-01-04,Delivered
SH000453,O000453,2023-01-04,2023-01-08,Delivered
SH000454,O000454,2023-01-04,2023-01-09,Delivered
SH000455,O000455,2023-01-03,2023-01-08,Delivered
SH000456,O000456,2023-01-03,2023-01-08,Delivered
SH000457,O000457,2023-01-02,2023-01-06,Delivered
SH000458,O000458,2023-01-02,,Cancelled
SH000459,O000459,2023-01-04,2023-01-09,Delivered
SH000460,O000460,2023-01-04,2023-01-09,Delivered
SH000461,O000461,2023-01-02,2023-01-05,Delivered
SH000462,O000462,2023-01-03,2023-01-08,Delivered
SH000463,O000463,2023-01-03,2023-01-06,Delivered
SH000464,O000464,2023-01-04,2023-01-09,Delivered
SH000465,O000465,2023-01-03,2023-01-08,Delivered
SH000466,O000466,2023-01-02,2023-01-04,Delivered
SH000467,O000467,2023-01-02,2023-01-14,Delayed
SH000468,O000468,2023-01-03,2023-01-07,Delivered
SH000469,O000469,2023-01-02,2023-01-04,Delivered
SH000470,O000470,2023-01-04,2023-01-09,Delivered
SH000471,O000471,2023-01-03,2023-01-06,Delivered
SH000472,O000472,2023-01-02,2023-01-08,Delayed
SH000473,O000473,2023-01-02,,Cancelled
SH000474,O000474,2023-01-04,2023-01-06,Delivered
SH000475,O000475,2023-01-02,2023-01-06,Delivered
SH000476,O000476,2023-01-03,2023-01-07,Delivered
SH000477,O000477,2023-01-02,2023-01-05,Delivered
SH000478,O000478,2023-01-04,2023-01-14,Delayed
SH000479,O000479,2023-01-02,2023-01-06,Delivered
SH000480,O000480,2023-01-02,2023-01-07,Delivered
SH000481,O000481,2023-01-04,2023-01-06,Delivered
SH000482,O000482,2023-01-02,2023-01-06,Delivered
SH000483,O000483,2023-01-02,2023-01-04,Delivered
SH000484,O000484,2023-01-04,2023-01-09,Delivered
SH000485,O000485,2023-01-02,,Cancelled
SH000486,O000486,2023-01-03,2023-01-05,Delivered
SH000487,O000487,2023-01-02,2023-01-05,Delivered
SH000488,O000488,2023-01-04,2023-01-06,Delivered
SH000489,O000489,2023-01-04,2023-01-06,Delivered
SH000490,O000490,2023-01-04,2023-01-08,Delivered
SH000491,O000491,2023-01-04,2023-01-09,Delivered
SH000492,O000492,2023-01-04,2023-01-07,Delivered
SH000493,O000493,2023-01-04,,Cancelled
SH000494,O000494,2023-01-04,2023-01-07,Delivered
SH000495,O000495,2023-01-02,2023-01-06,Delivered
SH000496,O000496,2023-01-03,2023-01-08,Delivered
SH000497,O000497,2023-01-04,2023-01-09,Delivered
SH000498,O000498,2023-01-04,2023-01-16,Delayed
SH000499,O000499,2023-01-02,2023-01-13,Delayed
SH000500,O000500,2023-01-03,2023-01-05,Delivered
SH000501,O000501,2023-01-03,2023-01-15,Delayed
SH000502,O000502,2023-01-04,2023-01-07,Delivered
SH000503,O000503,2023-01-02,2023-01-04,Delivered
