po_id,supplier_id,product_id,order_date,expected_date,received_date,quantity,unit_cost,delay_days
PO000112,S015,P028,2023-01-01,2023-01-21,2023-01-21,130,618.0,0
PO000113,S009,P015,2023-01-01,2023-01-09,2023-01-09,411,612.79,0
PO000114,S004,P030,2023-01-01,2023-01-08,2023-01-08,89,92.97,0
PO000115,S001,P023,2023-01-01,2023-01-06,2023-01-06,133,295.84,0
PO000116,S012,P044,2023-01-01,2023-01-18,2023-01-18,62,743.13,0
PO000117,S003,P035,2023-01-01,2023-01-06,2023-01-06,291,120.82,0
PO000118,S008,P009,2023-01-01,2023-01-13,2023-01-13,259,339.03,0
PO000119,S003,P037,2023-01-01,2023-01-06,2023-01-06,497,55.25,0
PO000120,S014,P033,2023-01-01,2023-01-21,2023-01-21,367,316.89,0
PO000121,S014,P024,2023-01-01,2023-01-20,2023-01-22,201,346.13,2
PO000122,S005,P038,2023-01-01,2023-01-07,2023-01-07,342,721.51,0
PO000123,S004,P032,2023-01-01,2023-01-07,2023-01-07,220,837.3,0
PO000124,S013,P046,2023-01-01,2023-01-17,2023-01-17,495,163.61,0
PO000125,S010,P029,2023-01-01,2023-01-10,2023-01-10,351,134.07,0
PO000126,S006,P012,2023-01-01,2023-01-11,2023-01-11,165,327.54,0
PO000127,S007,P038,2023-01-01,2023-01-09,2023-01-09,491,721.51,0
PO000128,S011,P004,2023-01-01,2023-01-16,2023-01-19,282,105.18,3
PO000129,S014,P041,2023-01-01,2023-01-18,2023-01-18,259,869.95,0
PO000130,S014,P012,2023-01-01,2023-01-17,2023-01-17,354,327.54,0
PO000131,S006,P007,2023-01-01,2023-01-10,2023-01-17,120,840.82,7
PO000132,S006,P040,2023-01-01,2023-01-10,2023-01-10,201,390.54,0
PO000133,S001,P050,2023-01-01,2023-01-07,2023-01-07,442,74.15,0
PO000134,S008,P004,2023-01-01,2023-01-12,2023-01-12,178,105.18,0
PO000135,S006,P034,2023-01-01,2023-01-13,2023-01-13,300,183.88,0
PO000136,S013,P030,2023-01-01,2023-01-20,2023-01-20,385,92.97,0
PO000137,S015,P021,2023-01-01,2023-01-20,2023-01-20,473,165.94,0
PO000138,S010,P023,2023-01-01,2023-01-13,2023-01-13,407,295.84,0
PO000139,S005,P012,2023-01-01,2023-01-08,2023-01-08,157,327.54,0
PO000140,S012,P013,2023-01-01,2023-01-16,2023-01-16,469,483.27,0
PO000141,S012,P027,2023-01-01,2023-01-19,2023-01-19,116,942.52,0
PO000142,S004,P041,2023-01-01,2023-01-08,2023-01-08,478,869.95,0
PO000143,S002,P036,2023-01-01,2023-01-08,2023-01-08,150,783.63,0
PO000144,S015,P010,2023-01-01,2023-01-20,2023-01-20,354,460.35,0
PO000145,S014,P025,2023-01-01,2023-01-17,2023-01-19,121,569.37,2
PO000146,S005,P025,2023-01-01,2023-01-07,2023-01-07,240,569.37,0
PO000147,S005,P024,2023-01-01,2023-01-06,2023-01-06,78,346.13,0
PO000148,S008,P027,2023-01-01,2023-01-13,2023-01-13,299,942.52,0
PO000149,S009,P041,2023-01-01,2023-01-13,2023-01-13,383,869.95,0
PO000150,S004,P005,2023-01-01,2023-01-08,2023-01-08,280,621.06,0
PO000151,S003,P025,2023-01-01,2023-01-07,2023-01-07,425,569.37,0
PO000152,S001,P026,2023-01-01,2023-01-07,2023-01-07,358,971.11,0
PO000153,S009,P007,2023-01-01,2023-01-10,2023-01-10,94,840.82,0
PO000154,S008,P029,2023-01-01,2023-01-13,2023-01-13,170,134.07,0
PO000155,S010,P030,2023-01-01,2023-01-11,2023-01-11,298,92.97,0
PO000156,S013,P030,2023-01-01,2023-01-18,2023-01-18,272,92.97,0
PO000157,S006,P037,2023-01-01,2023-01-12,2023-01-12,394,55.25,0
PO000158,S010,P033,2023-01-01,2023-01-11,2023-01-11,165,316.89,0
PO000159,S013,P010,2023-01-01,2023-01-18,2023-01-18,428,460.35,0
PO000160,S006,P025,2023-01-01,2023-01-09,2023-01-09,401,569.37,0
PO000161,S001,P045,2023-01-01,2023-01-07,2023-01-07,145,892.85,0
PO000162,S004,P006,2023-01-01,2023-01-06,2023-01-06,314,69.56,0
PO000163,S005,P012,2023-01-01,2023-01-07,2023-01-07,181,327.54,0
PO000164,S006,P020,2023-01-01,2023-01-13,2023-01-13,446,700.02,0
PO000165,S008,P042,2023-01-01,2023-01-10,2023-01-10,372,364.35,0
PO000166,S008,P003,2023-01-01,2023-01-12,2023-01-12,494,198.22,0
PO000167,S012,P049,2023-01-01,2023-01-17,2023-01-17,452,546.6,0
PO000168,S009,P024,2023-01-01,2023-01-10,2023-01-10,305,346.13,0
PO000169,S012,P039,2023-01-01,2023-01-18,2023-01-22,384,782.71,4
PO000170,S009,P037,2023-01-01,2023-01-13,2023-01-13,483,55.25,0
PO000171,S015,P045,2023-01-01,2023-01-18,2023-01-18,268,892.85,0
PO000172,S012,P008,2023-01-01,2023-01-16,2023-01-16,493,222.73,0
PO000173,S003,P007,2023-01-01,2023-01-07,2023-01-07,87,840.82,0
PO000174,S003,P037,2023-01-01,2023-01-08,2023-01-08,196,55.25,0
PO000175,S004,P049,2023-01-01,2023-01-06,2023-01-06,207,546.6,0
PO000176,S013,P001,2023-01-01,2023-01-17,2023-01-27,487,405.81,10
PO000177,S009,P014,2023-01-01,2023-01-10,2023-01-10,286,239.69,0
PO000178,S001,P050,2023-01-01,2023-01-06,2023-01-06,267,74.15,0
PO000179,S012,P036,2023-01-01,2023-01-21,2023-01-21,417,783.63,0
PO000180,S009,P011,2023-01-01,2023-01-11,2023-01-11,297,631.26,0
PO000181,S009,P046,2023-01-01,2023-01-12,2023-01-12,390,163.61,0
PO000182,S008,P026,2023-01-01,2023-01-09,2023-01-09,494,971.11,0
PO000183,S006,P012,2023-01-01,2023-01-11,2023-01-11,66,327.54,0
PO000184,S011,P004,2023-01-01,2023-01-21,2023-01-21,425,105.18,0
PO000185,S003,P020,2023-01-01,2023-01-07,2023-01-07,287,700.02,0
PO000186,S008,P043,2023-01-01,2023-01-10,2023-01-10,280,345.43,0
PO000187,S001,P011,2023-01-01,2023-01-07,2023-01-07,206,631.26,0
PO000188,S011,P020,2023-01-01,2023-01-19,2023-01-28,253,700.02,9
PO000189,S001,P020,2023-01-01,2023-01-06,2023-01-08,306,700.02,2
PO000190,S013,P013,2023-01-01,2023-01-16,2023-01-20,125,483.27,4
PO000191,S010,P016,2023-01-01,2023-01-11,2023-01-11,185,627.17,0
PO000192,S001,P016,2023-01-01,2023-01-07,2023-01-07,406,627.17,0
PO000193,S004,P024,2023-01-01,2023-01-06,2023-01-06,56,346.13,0
PO000194,S015,P007,2023-01-01,2023-01-20,2023-01-23,484,840.82,3
PO000195,S001,P017,2023-01-01,2023-01-06,2023-01-06,178,111.8,0
PO000196,S009,P016,2023-01-01,2023-01-10,2023-01-10,167,627.17,0
PO000197,S004,P012,2023-01-01,2023-01-08,2023-01-08,184,327.54,0
PO000198,S014,P031,2023-01-01,2023-01-17,2023-01-25,334,419.24,8
PO000199,S006,P038,2023-01-01,2023-01-12,2023-01-19,176,721.51,7
PO000200,S015,P013,2023-01-01,2023-01-21,2023-01-30,312,483.27,9
PO000201,S004,P035,2023-01-01,2023-01-06,2023-01-06,229,120.82,0
PO000202,S002,P019,2023-01-01,2023-01-08,2023-01-08,381,339.38,0
PO000203,S007,P030,2023-01-01,2023-01-10,2023-01-12,424,92.97,2
PO000204,S001,P013,2023-01-01,2023-01-06,2023-01-06,139,483.27,0
PO000205,S005,P021,2023-01-01,2023-01-06,2023-01-06,179,165.94,0
PO000206,S001,P049,2023-01-01,2023-01-06,2023-01-08,231,546.6,2
PO000207,S014,P040,2023-01-01,2023-01-19,2023-01-19,403,390.54,0
PO000208,S015,P028,2023-01-01,2023-01-19,2023-01-25,326,618.0,6
PO000209,S011,P028,2023-01-01,2023-01-16,2023-01-16,472,618.0,0
PO000210,S008,P036,2023-01-01,2023-01-09,2023-01-09,435,783.63,0
PO000211,S010,P045,2023-01-01,2023-01-12,2023-01-12,149,892.85,0
PO000212,S012,P017,2023-01-01,2023-01-19,2023-01-21,439,111.8,2
PO000213,S011,P046,2023-01-01,2023-01-16,2023-01-16,206,163.61,0
PO000214,S003,P044,2023-01-01,2023-01-07,2023-01-07,118,743.13,0
PO000215,S010,P010,2023-01-01,2023-01-10,2023-01-10,251,460.35,0
PO000216,S012,P004,2023-01-01,2023-01-20,2023-01-24,500,105.18,4
PO000217,S011,P026,2023-01-01,2023-01-16,2023-01-16,352,971.11,0
PO000218,S013,P025,2023-01-01,2023-01-16,2023-01-16,330,569.37,0
PO000219,S011,P031,2023-01-01,2023-01-19,2023-01-23,479,419.24,4
PO000220,S010,P012,2023-01-01,2023-01-09,2023-01-09,302,327.54,0
PO000221,S002,P017,2023-01-01,2023-01-08,2023-01-08,158,111.8,0
PO000222,S012,P010,2023-01-01,2023-01-18,2023-01-18,283,460.35,0
PO000223,S009,P044,2023-01-01,2023-01-09,2023-01-09,276,743.13,0
PO000224,S009,P027,2023-01-01,2023-01-11,2023-01-11,58,942.52,0
PO000225,S011,P011,2023-01-01,2023-01-19,2023-01-19,368,631.26,0
PO000226,S004,P014,2023-01-01,2023-01-07,2023-01-07,180,239.69,0
PO000227,S014,P005,2023-01-01,2023-01-17,2023-01-17,305,621.06,0
PO000228,S003,P014,2023-01-01,2023-01-08,2023-01-08,417,239.69,0
PO000229,S008,P022,2023-01-01,2023-01-12,2023-01-12,383,82.67,0
PO000230,S008,P013,2023-01-01,2023-01-11,2023-01-11,98,483.27,0
PO000231,S013,P041,2023-01-01,2023-01-17,2023-01-19,363,869.95,2
PO000232,S004,P050,2023-01-01,2023-01-07,2023-01-07,316,74.15,0
PO000233,S015,P002,2023-01-01,2023-01-19,2023-01-19,466,745.39,0
PO000234,S009,P042,2023-01-01,2023-01-12,2023-01-12,446,364.35,0
PO000235,S005,P033,2023-01-01,2023-01-08,2023-01-08,81,316.89,0
PO000236,S001,P022,2023-01-01,2023-01-07,2023-01-07,75,82.67,0
PO000237,S006,P036,2023-01-01,2023-01-10,2023-01-10,436,783.63,0
PO000238,S009,P005,2023-01-01,2023-01-10,2023-01-10,397,621.06,0
PO000239,S007,P046,2023-01-01,2023-01-12,2023-01-12,487,163.61,0
PO000240,S014,P018,2023-01-01,2023-01-19,2023-01-19,378,967.35,0
PO000241,S010,P005,2023-01-01,2023-01-10,2023-01-10,208,621.06,0
PO000242,S010,P010,2023-01-01,2023-01-12,2023-01-12,220,460.35,0
PO000243,S014,P023,2023-01-01,2023-01-16,2023-01-19,478,295.84,3
PO000244,S012,P044,2023-01-01,2023-01-18,2023-01-21,490,743.13,3
PO000245,S007,P040,2023-01-01,2023-01-11,2023-01-11,169,390.54,0
PO000246,S005,P021,2023-01-01,2023-01-07,2023-01-07,184,165.94,0
PO000247,S002,P050,2023-01-01,2023-01-08,2023-01-08,262,74.15,0
PO000248,S009,P027,2023-01-01,2023-01-12,2023-01-12,240,942.52,0
PO000249,S012,P001,2023-01-01,2023-01-19,2023-01-19,96,405.81,0
PO000250,S006,P003,2023-01-01,2023-01-11,2023-01-11,360,198.22,0
PO000251,S003,P016,2023-01-01,2023-01-06,2023-01-06,74,627.17,0
PO000252,S014,P021,2023-01-01,2023-01-20,2023-01-23,231,165.94,3
PO000253,S006,P008,2023-01-01,2023-01-09,2023-01-17,209,222.73,8
PO000254,S006,P044,2023-01-01,2023-01-13,2023-01-13,424,743.13,0
PO000255,S013,P015,2023-01-01,2023-01-17,2023-01-21,148,612.79,4
PO000256,S005,P008,2023-01-01,2023-01-06,2023-01-06,371,222.73,0
PO000257,S003,P047,2023-01-01,2023-01-08,2023-01-08,251,772.75,0
PO000258,S002,P013,2023-01-01,2023-01-06,2023-01-06,128,483.27,0
PO000259,S010,P011,2023-01-01,2023-01-09,2023-01-09,176,631.26,0
PO000260,S002,P011,2023-01-01,2023-01-07,2023-01-07,206,631.26,0
PO000261,S014,P018,2023-01-01,2023-01-16,2023-01-16,343,967.35,0
PO000262,S002,P032,2023-01-01,2023-01-06,2023-01-06,347,837.3,0
PO000263,S009,P016,2023-01-01,2023-01-13,2023-01-13,383,627.17,0
PO000264,S011,P040,2023-01-01,2023-01-17,2023-01-17,350,390.54,0
PO000265,S005,P024,2023-01-01,2023-01-07,2023-01-07,152,346.13,0
PO000266,S009,P036,2023-01-01,2023-01-12,2023-01-12,103,783.63,0
PO000267,S003,P038,2023-01-01,2023-01-06,2023-01-06,443,721.51,0
PO000268,S010,P013,2023-01-01,2023-01-11,2023-01-11,264,483.27,0
PO000269,S005,P018,2023-01-01,2023-01-08,2023-01-08,108,967.35,0
PO000270,S006,P030,2023-01-01,2023-01-10,2023-01-10,232,92.97,0
PO000271,S013,P006,2023-01-01,2023-01-21,2023-01-21,425,69.56,0
PO000272,S006,P042,2023-01-01,2023-01-10,2023-01-10,270,364.35,0
PO000273,S007,P008,2023-01-01,2023-01-09,2023-01-09,296,222.73,0
PO000274,S008,P009,2023-01-01,2023-01-10,2023-01-10,495,339.03,0
PO000275,S003,P013,2023-01-01,2023-01-06,2023-01-06,417,483.27,0
PO000276,S006,P035,2023-01-01,2023-01-11,2023-01-13,317,120.82,2
PO000277,S002,P026,2023-01-01,2023-01-06,2023-01-06,153,971.11,0
PO000278,S005,P024,2023-01-01,2023-01-08,2023-01-08,205,346.13,0
PO000279,S011,P031,2023-01-01,2023-01-21,2023-01-21,258,419.24,0
PO000280,S003,P026,2023-01-01,2023-01-06,2023-01-06,446,971.11,0
PO000281,S009,P002,2023-01-01,2023-01-13,2023-01-13,79,745.39,0
PO000282,S004,P026,2023-01-01,2023-01-07,2023-01-07,345,971.11,0
PO000283,S002,P028,2023-01-01,2023-01-07,2023-01-07,119,618.0,0
PO000284,S001,P013,2023-01-01,2023-01-08,2023-01-17,118,483.27,9
PO000285,S007,P018,2023-01-01,2023-01-11,2023-01-11,160,967.35,0
PO000286,S002,P037,2023-01-01,2023-01-07,2023-01-07,275,55.25,0
PO000287,S006,P019,2023-01-01,2023-01-09,2023-01-09,205,339.38,0
PO000288,S009,P035,2023-01-01,2023-01-09,2023-01-17,309,120.82,8
PO000289,S009,P005,2023-01-01,2023-01-13,2023-01-13,499,621.06,0
PO000290,S004,P012,2023-01-01,2023-01-06,2023-01-06,85,327.54,0
PO000291,S006,P029,2023-01-01,2023-01-11,2023-01-11,102,134.07,0
PO000292,S015,P005,2023-01-01,2023-01-21,2023-01-21,440,621.06,0
PO000293,S003,P010,2023-01-01,2023-01-06,2023-01-06,418,460.35,0
PO000294,S005,P027,2023-01-01,2023-01-06,2023-01-06,386,942.52,0
PO000295,S013,P017,2023-01-01,2023-01-21,2023-01-23,129,111.8,2
PO000296,S009,P047,2023-01-01,2023-01-09,2023-01-09,342,772.75,0
PO000297,S002,P027,2023-01-01,2023-01-08,2023-01-08,447,942.52,0
PO000298,S008,P020,2023-01-01,2023-01-10,2023-01-10,303,700.02,0
PO000299,S008,P004,2023-01-01,2023-01-09,2023-01-09,244,105.18,0
PO000300,S014,P034,2023-01-01,2023-01-20,2023-01-20,107,183.88,0
PO000301,S012,P033,2023-01-01,2023-01-19,2023-01-21,431,316.89,2
PO000302,S015,P021,2023-01-01,2023-01-19,2023-01-19,291,165.94,0
PO000303,S012,P011,2023-01-01,2023-01-20,2023-01-20,153,631.26,0
PO000304,S011,P009,2023-01-01,2023-01-16,2023-01-26,435,339.03,10
PO000305,S009,P005,2023-01-01,2023-01-12,2023-01-12,69,621.06,0
PO000306,S002,P040,2023-01-01,2023-01-07,2023-01-07,354,390.54,0
PO000307,S006,P022,2023-01-01,2023-01-10,2023-01-10,368,82.67,0
PO000308,S005,P029,2023-01-01,2023-01-08,2023-01-08,291,134.07,0
PO000309,S015,P030,2023-01-01,2023-01-16,2023-01-16,147,92.97,0
PO000310,S002,P025,2023-01-01,2023-01-06,2023-01-06,444,569.37,0
PO000311,S003,P045,2023-01-01,2023-01-06,2023-01-06,435,892.85,0
PO000312,S007,P031,2023-01-01,2023-01-09,2023-01-09,295,419.24,0
PO000313,S007,P044,2023-01-01,2023-01-12,2023-01-12,482,743.13,0
PO000314,S014,P027,2023-01-01,2023-01-17,2023-01-20,420,942.52,3
PO000315,S001,P050,2023-01-01,2023-01-07,2023-01-07,477,74.15,0
PO000316,S010,P032,2023-01-01,2023-01-09,2023-01-18,116,837.3,9
PO000317,S009,P026,2023-01-01,2023-01-10,2023-01-13,326,971.11,3
PO000318,S007,P026,2023-01-01,2023-01-09,2023-01-15,412,971.11,6
PO000319,S011,P023,2023-01-01,2023-01-16,2023-01-22,234,295.84,6
PO000320,S002,P049,2023-01-01,2023-01-08,2023-01-08,158,546.6,0
PO000321,S008,P014,2023-01-01,2023-01-13,2023-01-13,106,239.69,0
PO000322,S012,P033,2023-01-01,2023-01-21,2023-01-21,243,316.89,0
PO000323,S010,P046,2023-01-01,2023-01-12,2023-01-12,301,163.61,0
PO000324,S001,P026,2023-01-01,2023-01-06,2023-01-06,400,971.11,0
PO000325,S011,P018,2023-01-01,2023-01-16,2023-01-16,410,967.35,0
PO000326,S007,P007,2023-01-01,2023-01-09,2023-01-09,358,840.82,0
PO000327,S002,P035,2023-01-01,2023-01-08,2023-01-08,276,120.82,0
PO000328,S004,P001,2023-01-01,2023-01-08,2023-01-08,57,405.81,0
PO000329,S008,P033,2023-01-01,2023-01-10,2023-01-10,280,316.89,0
PO000330,S013,P008,2023-01-01,2023-01-21,2023-01-31,357,222.73,10
PO000331,S014,P030,2023-01-01,2023-01-18,2023-01-21,413,92.97,3
PO000332,S002,P029,2023-01-01,2023-01-06,2023-01-06,451,134.07,0
PO000333,S004,P005,2023-01-01,2023-01-07,2023-01-07,171,621.06,0
PO000334,S008,P024,2023-01-01,2023-01-09,2023-01-09,356,346.13,0
PO000335,S005,P013,2023-01-01,2023-01-06,2023-01-06,122,483.27,0
PO000336,S009,P033,2023-01-01,2023-01-13,2023-01-13,210,316.89,0
PO000337,S002,P026,2023-01-01,2023-01-08,2023-01-08,256,971.11,0
PO000338,S014,P011,2023-01-01,2023-01-16,2023-01-16,442,631.26,0
PO000339,S009,P043,2023-01-01,2023-01-13,2023-01-13,260,345.43,0
PO000340,S010,P007,2023-01-01,2023-01-13,2023-01-13,72,840.82,0
PO000341,S012,P044,2023-01-01,2023-01-20,2023-01-20,92,743.13,0
PO000342,S009,P028,2023-01-01,2023-01-12,2023-01-12,382,618.0,0
PO000343,S007,P018,2023-01-01,2023-01-12,2023-01-12,363,967.35,0
PO000344,S008,P049,2023-01-01,2023-01-13,2023-01-13,92,546.6,0
PO000345,S013,P019,2023-01-01,2023-01-21,2023-01-27,69,339.38,6
PO000346,S008,P025,2023-01-01,2023-01-09,2023-01-09,309,569.37,0
PO000347,S005,P041,2023-01-01,2023-01-06,2023-01-06,202,869.95,0
